Disclosure Date,Project Number,Project Name,Project URL,Country,IFC Country Code,IFC Region,Business Line,Estimated Total Budget ($),Department,Status,IFC Approval Date,Projected Start Date,WB Country Code,As of Date
"May 24, 2022",605934,Uzbekistan Infrastructure Upstream: Programmatic Deep-Dive and Ideation,https://disclosures.ifc.org/project-detail/AS/605934/uzbekistan-infrastructure-upstream:-programmatic-deep-dive-and-ideation,Uzbekistan,UZB,Central Asia and Turkiye,Infrastructure,260000,,Active,"Feb 12, 2021","Feb 15, 2021",UZ,"October 11, 2022 02:11 AM"
"May 23, 2022",606129,MPesa Tanzania Digital Financial Services Advisory,https://disclosures.ifc.org/project-detail/AS/606129/mpesa-tanzania-digital-financial-services-advisory,Tanzania,TAN,Africa,Financial Institutions Group,3200000,,Active,"Mar 30, 2021","Sep 15, 2021",,"October 11, 2022 02:11 AM"
"May 19, 2022",607087,Nigeria Inclusive Climate Insurance Program,https://disclosures.ifc.org/project-detail/AS/607087/nigeria-inclusive-climate-insurance-program,Nigeria,NIR,Africa,Financial Institutions Group,970000,,Active,"May 19, 2022","May 18, 2022",NG,"October 11, 2022 02:11 AM"
"May 18, 2022",606096,D2D Mongolia 2 Mining Data and Transparency ,https://disclosures.ifc.org/project-detail/AS/606096/d2d-mongolia-2-mining-data-and-transparency-,Mongolia,MNG,East Asia and the Pacific,Infrastructure,382300,,Active,"Jun 24, 2021","Jul 01, 2021",MN,"October 11, 2022 02:11 AM"
"May 16, 2022",607090,Zambia Inclusive Climate Insurance Program,https://disclosures.ifc.org/project-detail/AS/607090/zambia-inclusive-climate-insurance-program,Zambia,ZAM,Africa,Financial Institutions Group,970000,,Active,"May 16, 2022","Apr 20, 2022",ZM,"October 11, 2022 02:11 AM"
"May 11, 2022",606161,Jamaica Roads Development ,https://disclosures.ifc.org/project-detail/AS/606161/jamaica-roads-development-,Jamaica,JAM,Latin America and the Caribbean,Transaction Advisory,2631160,,Active,,"May 04, 2022",JM,"October 11, 2022 02:11 AM"
"May 09, 2022",606483,Jordan Solar Thermal Water Heating Project,https://disclosures.ifc.org/project-detail/AS/606483/jordan-solar-thermal-water-heating-project,Jordan,JOR,Middle East,Transaction Advisory,50000,,Active,"Jul 28, 2021","May 01, 2022",JO,"October 11, 2022 02:11 AM"
"May 06, 2022",606706,Fincom RM Preparation,https://disclosures.ifc.org/project-detail/AS/606706/fincom-rm-preparation,Moldova,MDA,Europe,Financial Institutions Group,175000,,Active,"Oct 27, 2021","Nov 01, 2021",MD,"October 11, 2022 02:11 AM"
"May 04, 2022",606845,Angola Energy Sector Upstream Intervention,https://disclosures.ifc.org/project-detail/AS/606845/angola-energy-sector-upstream-intervention,Angola,ANG,Africa,Infrastructure,390000,,Active,"Apr 17, 2022","Apr 01, 2022",AO,"October 11, 2022 02:11 AM"
"Apr 29, 2022",601704,SMEV  Advisory Project - CLMDF II,https://disclosures.ifc.org/project-detail/AS/601704/smev--advisory-project---clmdf-ii,Cambodia,KAM,East Asia and the Pacific,Other,739677,,Active,"Oct 03, 2016","Oct 01, 2016",KH,"October 11, 2022 02:11 AM"
"Apr 29, 2022",606653,Africa Health Quality Phase 2,https://disclosures.ifc.org/project-detail/AS/606653/africa-health-quality-phase-2,Africa Region,AFR,Africa,"Manufacturing, Agribusiness & Services",2580000,,Active,"Feb 15, 2022","Jan 01, 2022",3A,"October 11, 2022 02:11 AM"
"Apr 28, 2022",606443,Nippon Chemiphar Asia Global Expansion,https://disclosures.ifc.org/project-detail/AS/606443/nippon-chemiphar-asia-global-expansion,East Asia and Pacific Region,EAP,East Asia and the Pacific,"Manufacturing, Agribusiness & Services",545341,,Active,"Mar 11, 2022","Mar 01, 2022",EAP,"October 11, 2022 02:11 AM"
"Apr 26, 2022",606418,City of Cape Town Energy and Climate ,https://disclosures.ifc.org/project-detail/AS/606418/city-of-cape-town-energy-and-climate-,South Africa,SOU,Africa,Infrastructure,450000,,Active,"Mar 10, 2022","Mar 01, 2022",ZA,"October 11, 2022 02:11 AM"
"Apr 21, 2022",606027,Rwanda Tourism Recovery Planning and Market Diversification,https://disclosures.ifc.org/project-detail/AS/606027/rwanda-tourism-recovery-planning-and-market-diversification,Rwanda,RWA,Africa,Other,405000,,Active,"May 19, 2021","May 19, 2021",RW,"October 11, 2022 02:11 AM"
"Apr 19, 2022",606548,MELCO Democratic Republic of Congo,https://disclosures.ifc.org/project-detail/AS/606548/melco-democratic-republic-of-congo,"Congo, Democratic Republic of",ZAI,Africa,Infrastructure,170000,,Active,"Oct 01, 2021","Sep 20, 2021",ZR,"October 11, 2022 02:11 AM"
"Apr 18, 2022",604348,BCP Non Financial Services,https://disclosures.ifc.org/project-detail/AS/604348/bcp-non-financial-services,Morocco,MYC,Africa,Financial Institutions Group,261575,,Active,"Oct 25, 2019","Feb 01, 2021",MA,"October 11, 2022 02:11 AM"
"Apr 14, 2022",605560,Tunisia Digital Payments Ecosystem Support,https://disclosures.ifc.org/project-detail/AS/605560/tunisia-digital-payments-ecosystem-support,Tunisia,TUN,Africa,Financial Institutions Group,919109,,Active,"Sep 25, 2020","Sep 01, 2020",TN,"October 11, 2022 02:11 AM"
"Apr 11, 2022",606740,Aracaju Primary Healthcare,https://disclosures.ifc.org/project-detail/AS/606740/aracaju-primary-healthcare,Brazil,BRA,Latin America and the Caribbean,Transaction Advisory,556630,,Active,"Jan 19, 2022","Jan 01, 2022",BR,"October 11, 2022 02:11 AM"
"Apr 10, 2022",606756,Primary Healthcare Jaboatao,https://disclosures.ifc.org/project-detail/AS/606756/primary-healthcare-jaboatao,Brazil,BRA,Latin America and the Caribbean,Transaction Advisory,556630,,Active,"Jan 30, 2022","Dec 31, 2021",BR,"October 11, 2022 02:11 AM"
"Apr 07, 2022",606470,EMF MFI Graduation Project,https://disclosures.ifc.org/project-detail/AS/606470/emf-mfi-graduation-project,"Egypt, Arab Republic of",EGT,Africa,Financial Institutions Group,630000,,Active,"Sep 30, 2021","Oct 01, 2021",EG,"October 11, 2022 02:11 AM"
"Apr 05, 2022",605973,Project Name Pending,https://disclosures.ifc.org/project-detail/AS/605973/project-name-pending,Colombia,CLM,Latin America and the Caribbean,"Manufacturing, Agribusiness & Services",460000,,Status Pending,"Mar 18, 2021","Jan 11, 2021",CO,"October 11, 2022 02:11 AM"
"Apr 05, 2022",602697,Project Name Pending,https://disclosures.ifc.org/project-detail/AS/602697/project-name-pending,World Region,WLD,Global,Infrastructure,990000,,Active,"Jan 26, 2020","Jan 14, 2020",99,"October 11, 2022 02:11 AM"
"Apr 04, 2022",603763,Creating Investment Opportunities in Haiti,https://disclosures.ifc.org/project-detail/AS/603763/creating-investment-opportunities-in-haiti,Haiti,HAI,Latin America and the Caribbean,Other,2113520,,Active,"Feb 10, 2021","Feb 10, 2021",HT,"October 11, 2022 02:11 AM"
"Mar 31, 2022",603597,Guinea DFS Market Creation,https://disclosures.ifc.org/project-detail/AS/603597/guinea-dfs-market-creation,Guinea,GUI,Africa,Financial Institutions Group,810068,,Active,,"Feb 18, 2022",GN,"October 11, 2022 02:11 AM"
"Mar 30, 2022",606725,Union Bank Covid Response Project,https://disclosures.ifc.org/project-detail/AS/606725/union-bank-covid-response-project,Albania,ALB,Europe,Financial Institutions Group,80000,,Active,"Nov 24, 2021","Nov 15, 2021",AL,"October 11, 2022 02:11 AM"
"Mar 24, 2022",606790,Morocco Apparel Circularity,https://disclosures.ifc.org/project-detail/AS/606790/morocco-apparel-circularity,Morocco,MYC,Africa,"Manufacturing, Agribusiness & Services",368147,,Active,"Dec 26, 2021","Jan 01, 2022",MA,"October 11, 2022 02:11 AM"
"Mar 22, 2022",605564,Export Agri SL,https://disclosures.ifc.org/project-detail/AS/605564/export-agri-sl,Sri Lanka,SRI,South Asia,Other,1210000,,Active,,"Mar 12, 2022",LK,"October 11, 2022 02:11 AM"
"Mar 03, 2022",606738,Comoros PPP Program Support,https://disclosures.ifc.org/project-detail/AS/606738/comoros-ppp-program-support,Comoros,COM,Africa,Transaction Advisory,550000,,Active,"Feb 03, 2022","Dec 01, 2021",,"October 11, 2022 02:11 AM"
"Mar 03, 2022",606753,Arrawaj Capacity Building,https://disclosures.ifc.org/project-detail/AS/606753/arrawaj-capacity-building,Morocco,MYC,Africa,Financial Institutions Group,950000,,Active,"Apr 07, 2022","Apr 01, 2022",MA,"October 11, 2022 02:11 AM"
"Mar 02, 2022",604787,KE Agri Land Commercialization,https://disclosures.ifc.org/project-detail/AS/604787/ke-agri-land-commercialization,Kenya,KEN,Africa,Other,858000,,Active,"Oct 19, 2021","Oct 19, 2021",KE,"October 11, 2022 02:11 AM"
"Feb 23, 2022",606516,Jhansi Solar Park,https://disclosures.ifc.org/project-detail/AS/606516/jhansi-solar-park,India,IND,South Asia,Transaction Advisory,900000,,Active,"Dec 17, 2021","Feb 21, 2022",IN,"October 11, 2022 02:11 AM"
"Feb 10, 2022",606277,UPSEZWA Guinea,https://disclosures.ifc.org/project-detail/AS/606277/upsezwa-guinea,Guinea,GUI,Africa,Other,600000,,Active,"Dec 16, 2021","Dec 10, 2021",GN,"October 11, 2022 02:11 AM"
"Feb 10, 2022",606278,UPSEZWA Togo,https://disclosures.ifc.org/project-detail/AS/606278/upsezwa-togo,Togo,TOG,Africa,Other,600000,,Active,"Dec 16, 2021","Dec 10, 2021",TG,"October 11, 2022 02:11 AM"
"Feb 08, 2022",606344,UPSEZWA Nigeria,https://disclosures.ifc.org/project-detail/AS/606344/upsezwa-nigeria,Nigeria,NIR,Africa,Other,950000,,Active,"Dec 16, 2021","Dec 10, 2021",NG,"October 11, 2022 02:11 AM"
"Feb 03, 2022",606668,Agrobiotech AS Project,https://disclosures.ifc.org/project-detail/AS/606668/agrobiotech-as-project,Mali,MLI,Africa,"Manufacturing, Agribusiness & Services",240000,,Active,"Jan 30, 2022","Feb 01, 2022",ML,"October 11, 2022 02:11 AM"
"Feb 01, 2022",606023,WiW Employment Phase II,https://disclosures.ifc.org/project-detail/AS/606023/wiw-employment-phase-ii,Sri Lanka,SRI,South Asia,"Environment, Social and Governance",568249,,Active,"Jul 01, 2021","Jun 16, 2021",LK,"October 11, 2022 02:11 AM"
"Jan 27, 2022",605894,Personal Protective Equipment Global,https://disclosures.ifc.org/project-detail/AS/605894/personal-protective-equipment-global,Sri Lanka,SRI,South Asia,"Manufacturing, Agribusiness & Services",2200000,,Active,"Feb 02, 2021","Feb 04, 2021",LK,"October 11, 2022 02:11 AM"
"Jan 27, 2022",606622,Shared Value Platform Revenue Management Anglo American Peru,https://disclosures.ifc.org/project-detail/AS/606622/shared-value-platform-revenue-management-anglo-american-peru,Peru,PER,Latin America and the Caribbean,Infrastructure,950000,,Active,"Sep 30, 2021","Oct 01, 2021",PE,"October 11, 2022 02:11 AM"
"Jan 27, 2022",606274,D2D Peru 2,https://disclosures.ifc.org/project-detail/AS/606274/d2d-peru-2,Peru,PER,Latin America and the Caribbean,Infrastructure,288000,,Active,"Jun 23, 2021","Jul 01, 2021",PE,"October 11, 2022 02:11 AM"
"Jan 27, 2022",604977,OHADA Strengthening Credit Infrastructure Project,https://disclosures.ifc.org/project-detail/AS/604977/ohada-strengthening-credit-infrastructure-project,Africa Region,AFR,Africa,Other,3000000,,Active,"Apr 27, 2021","Mar 01, 2021",3A,"October 11, 2022 02:11 AM"
"Jan 26, 2022",604418,Enhancing The Competition Policy Framework in Morocco,https://disclosures.ifc.org/project-detail/AS/604418/enhancing-the-competition-policy-framework-in-morocco,Morocco,MYC,Africa,Other,1345217,,Active,"Jan 17, 2020","Jan 15, 2020",MA,"October 11, 2022 02:11 AM"
"Jan 26, 2022",605129,Attracting FDI in Tunisia,https://disclosures.ifc.org/project-detail/AS/605129/attracting-fdi-in-tunisia,Tunisia,TUN,Africa,Other,2300000,,Active,"Jun 29, 2020","Jun 29, 2020",TN,"October 11, 2022 02:11 AM"
"Jan 25, 2022",603905,Simple Credit Digital Agrifinance Project,https://disclosures.ifc.org/project-detail/AS/603905/simple-credit-digital-agrifinance-project,China,CHA,East Asia and the Pacific,Financial Institutions Group,510000,,Active,"Mar 21, 2019","Apr 01, 2019",CN,"October 11, 2022 02:11 AM"
"Jan 25, 2022",604845,Alibaba Cloud Digital Agrifinance Pilot AS project,https://disclosures.ifc.org/project-detail/AS/604845/alibaba-cloud-digital-agrifinance-pilot-as-project,China,CHA,East Asia and the Pacific,Financial Institutions Group,300000,,Active,"May 27, 2020","May 28, 2020",CN,"October 11, 2022 02:11 AM"
"Jan 25, 2022",606631,Uzbek Schools I Pilot,https://disclosures.ifc.org/project-detail/AS/606631/uzbek-schools-i-pilot,Uzbekistan,UZB,Central Asia and Turkiye,Transaction Advisory,1329703,,Active,,"Oct 01, 2021",UZ,"October 11, 2022 02:11 AM"
"Jan 19, 2022",603771,J-CAP Vietnam,https://disclosures.ifc.org/project-detail/AS/603771/j-cap-vietnam,Vietnam,VNM,East Asia and the Pacific,Other,1514619,,Active,"Feb 26, 2021","Feb 01, 2021",VN,"October 11, 2022 02:11 AM"
"Jan 17, 2022",606261,Multipay Switch DRC DFS Advisory,https://disclosures.ifc.org/project-detail/AS/606261/multipay-switch-drc-dfs-advisory,"Congo, Democratic Republic of",ZAI,Africa,Financial Institutions Group,428000,,Active,"Dec 16, 2021","Jun 01, 2021",ZR,"October 11, 2022 02:11 AM"
"Jan 17, 2022",605875,Resource Efficiency and Low Carbon Solutions for Cement in Africa,https://disclosures.ifc.org/project-detail/AS/605875/resource-efficiency-and-low-carbon-solutions-for-cement-in-africa,Senegal,SEN,Africa,"Manufacturing, Agribusiness & Services",915000,,Active,"Jan 07, 2022","Jan 01, 2022",SN,"October 11, 2022 02:11 AM"
"Jan 12, 2022",606214,Baobab Nigeria MSME,https://disclosures.ifc.org/project-detail/AS/606214/baobab-nigeria-msme,Nigeria,NIR,Africa,Financial Institutions Group,110000,,Active,"Aug 06, 2021","Sep 01, 2021",NG,"October 11, 2022 02:11 AM"
"Dec 16, 2021",606021,Global Housing Advisory Platform Implementation (child),https://disclosures.ifc.org/project-detail/AS/606021/global-housing-advisory-platform-implementation-(child),Africa Region,AFR,Africa,"Manufacturing, Agribusiness & Services",3100000,,Active,"May 19, 2021","May 01, 2021",3A,"October 11, 2022 02:11 AM"
"Dec 13, 2021",606323,Sustainable Alternative Feed Project in Southeast Asia with InnovaFeed,https://disclosures.ifc.org/project-detail/AS/606323/sustainable-alternative-feed-project-in-southeast-asia-with-innovafeed,Indonesia,INS,East Asia and the Pacific,"Manufacturing, Agribusiness & Services",183000,,Active,,"Jul 30, 2021",ID,"October 11, 2022 02:11 AM"
"Dec 13, 2021",605056,Improving credit reporting system in Tunisia - MSME 2.0,https://disclosures.ifc.org/project-detail/AS/605056/improving-credit-reporting-system-in-tunisia---msme-2-0,Tunisia,TUN,Africa,Financial Institutions Group,994999,,Active,"Jun 30, 2020","Jul 01, 2020",TN,"October 11, 2022 02:11 AM"
