Date,US dollar (USD),Euro (EUR),Japanese yen (JPY),Pound sterling (GBP),Canadian dollar (CAD),Swiss franc (CHF),Indian rupee (INR),Chinese renmimbi (CNY),Turkish lira (TRY),Saudi riyal (SAR),Indonesian rupiah (IDR),UAE dirham (AED),Thai baht THB),Vietnamese dong (VND),Egyptian pound (EGP),Korean won (KRW),Russian ruble (RUB),South African rand (ZAR),Australian dollar (AUD)
1981-02-27,489.0,357.95,102819.77,221.77,588.57,962.62,4082.88,0.0,0.0,1645.12,315684.47,1849.64,10333.11,0.0,0.0,328679.09,0.0,383.82,424.17
1981-03-31,513.75,375.1,108590.32,228.89,609.5,988.54,4240.49,0.0,0.0,1722.78,319803.05,1880.86,10481.03,0.0,0.0,345953.61,0.0,410.76,440.09
1981-04-30,482.75,369.74,103761.71,225.53,575.6,971.33,3998.47,0.0,0.0,1611.2,306365.45,1788.72,9999.78,0.0,0.0,326551.04,0.0,394.15,418.87
1981-05-29,479.25,386.14,107187.18,231.52,576.06,993.24,4046.47,0.0,0.0,1628.04,300077.82,1762.17,9967.13,0.0,0.0,327334.81,0.0,405.39,420.19
1981-06-30,426.0,353.4,95631.79,220.67,505.78,862.43,3703.76,0.0,0.0,1447.58,267801.73,1565.48,8820.83,0.0,0.0,288769.59,0.0,373.58,366.7
1981-07-31,406.0,346.87,97366.89,220.47,500.26,870.25,3655.12,0.0,0.0,1395.04,259920.1,1516.06,9395.63,0.0,0.0,278331.75,0.0,386.28,357.01
1981-08-31,425.0,362.53,97572.74,229.85,511.22,906.69,3820.06,0.0,0.0,1445.18,266472.53,1551.04,9711.25,0.0,0.0,291090.05,0.0,401.91,370.61
1981-09-30,428.75,349.87,99122.94,237.53,514.4,842.37,3870.4,0.0,0.0,1450.81,263485.05,1533.51,9593.3,0.0,0.0,292365.87,0.0,407.23,372.63
1981-10-30,427.0,347.03,99984.75,229.57,515.84,785.35,3876.38,0.0,0.0,1455.37,262289.85,1536.1,9516.42,0.0,0.0,290947.76,0.0,413.32,374.57
1981-11-30,414.5,332.94,88997.77,212.02,488.93,735.36,3814.95,0.0,0.0,1426.09,263773.41,1532.36,9542.68,0.0,0.0,286653.34,0.0,399.13,360.99
1981-12-31,397.5,327.48,87899.49,208.22,475.33,719.75,3625.14,0.0,0.0,1372.45,249492.07,1456.26,9089.58,0.0,0.0,280200.1,0.0,383.13,354.95
1982-01-29,387.0,327.92,88640.04,205.74,464.46,717.17,3546.03,0.0,0.0,1331.15,241185.51,1405.44,8746.37,0.0,0.0,274961.78,0.0,377.37,356.52
1982-02-26,362.6,308.91,85939.72,199.07,446.15,687.92,3373.88,0.0,0.0,1238.25,239036.0,1357.89,8442.43,0.0,0.0,258598.19,0.0,355.92,338.28
1982-03-31,320.0,285.71,79495.53,179.57,394.06,619.6,2987.61,0.0,0.0,1091.71,207452.75,1178.04,7365.03,0.0,0.0,230215.05,0.0,338.04,305.66
1982-04-30,361.25,318.81,84104.9,201.37,434.24,698.89,3322.12,0.0,0.0,1220.81,228982.03,1306.31,8080.43,0.0,0.0,257287.37,0.0,372.51,335.82
1982-05-31,325.25,284.76,79261.67,181.65,404.76,651.73,3072.29,0.0,0.0,1118.39,212397.62,1197.29,7471.68,0.0,0.0,238623.99,0.0,351.63,310.05
1982-06-30,317.5,301.04,79918.28,182.1,404.05,656.91,2971.91,0.0,0.0,1080.49,202249.53,1131.01,7086.83,0.0,0.0,232610.87,0.0,354.93,306.44
1982-07-30,342.9,315.16,88186.86,197.3,429.7,716.33,3265.37,0.0,0.0,1180.37,229039.5,1275.01,7981.16,0.0,0.0,253894.97,0.0,393.1,344.77
1982-08-31,411.5,388.34,107111.55,239.66,507.41,873.71,3933.3,0.0,0.0,1423.7,273420.71,1519.84,9487.36,0.0,0.0,307333.31,0.0,469.31,422.72
1982-09-30,397.0,383.37,105866.82,234.29,487.52,857.18,3824.8,0.0,0.0,1356.54,265365.85,1455.81,9060.98,0.0,0.0,293222.63,0.0,456.19,415.73
1982-10-29,423.25,416.77,116886.83,252.39,517.12,931.07,4108.4,0.0,0.0,1450.7,287624.65,1552.62,9688.14,0.0,0.0,314300.96,0.0,493.84,450.56
1982-11-30,436.0,423.24,107082.97,268.56,530.27,908.62,4127.57,0.0,0.0,1468.04,289730.63,1557.45,9706.04,0.0,0.0,318880.09,0.0,473.37,448.77
1982-12-31,456.9,429.9,105366.41,282.47,551.23,899.77,4320.02,0.0,0.08,1543.06,310012.88,1642.33,10239.95,0.0,0.0,335836.82,0.0,482.61,456.82
1983-01-31,499.5,486.07,120786.22,328.62,622.13,1013.45,5003.53,0.0,0.1,1735.02,352513.77,1852.17,11532.59,0.0,0.0,400806.04,0.0,540.39,519.88
1983-02-28,408.5,394.41,99730.78,269.64,515.83,864.33,4197.0,0.0,0.08,1441.94,293998.04,1539.45,9612.94,0.0,0.0,316076.17,0.0,456.75,440.2
1983-03-31,414.75,410.93,98978.04,279.58,510.67,863.44,4104.31,0.0,0.08,1427.36,285570.45,1489.56,9437.11,0.0,0.0,316200.07,0.0,453.93,477.02
1983-04-29,429.25,430.88,101942.2,275.07,525.29,886.24,4286.38,0.0,0.09,1479.02,415182.78,1577.8,9808.41,0.0,0.0,329045.23,0.0,467.49,493.99
1983-05-31,437.5,447.29,104996.12,272.67,540.23,921.23,4391.75,0.0,0.09,1521.38,425128.2,1606.06,9997.54,0.0,0.0,338512.61,0.0,471.15,497.69
1983-06-30,416.0,431.65,99204.56,271.9,513.25,872.89,4183.61,0.0,0.09,1433.26,410375.4,1545.33,9614.06,0.0,0.0,323650.86,0.0,456.87,476.07
1983-07-29,422.0,456.53,102097.14,277.5,520.97,899.51,4290.99,0.0,0.09,1456.01,414510.16,1549.43,9741.91,0.0,0.0,330624.8,0.0,464.61,479.88
1983-08-31,414.25,452.93,102099.16,277.28,511.19,906.55,4219.66,0.0,0.1,1441.25,410061.31,1525.66,9530.17,0.0,0.0,327496.64,0.0,466.52,471.93
1983-09-30,405.0,440.9,95265.27,270.54,497.78,857.52,4123.34,0.0,0.1,1404.22,399655.34,1489.97,9310.63,0.0,0.0,318877.11,0.0,445.63,450.15
1983-10-31,382.0,416.46,89752.61,255.43,472.61,821.24,3923.47,0.0,0.1,1333.34,377345.63,1407.06,8782.93,0.0,0.0,304076.92,0.0,448.31,419.02
1983-11-30,405.0,451.49,94229.79,276.26,501.04,876.57,4218.59,0.0,0.11,1411.86,400414.31,1485.54,9262.47,0.0,0.0,323302.24,0.0,482.22,442.51
1983-12-30,382.4,432.0,88442.82,263.45,474.54,831.86,3995.04,0.0,0.11,1334.4,380175.33,1368.83,8699.72,0.0,0.0,303482.93,0.0,466.42,424.34
1984-01-31,373.75,436.19,87369.29,266.68,464.51,838.53,4002.4,0.0,0.12,1307.62,371236.57,1371.11,8557.81,0.0,0.0,297259.07,0.0,471.67,405.33
1984-02-29,394.25,428.55,92597.71,264.51,496.38,860.12,4220.11,0.0,0.12,1393.99,387872.63,1432.07,8940.46,0.0,0.0,314622.76,0.0,475.23,420.02
1984-03-30,388.5,421.4,87261.11,269.32,495.96,836.25,4169.12,0.0,0.12,1366.75,388109.91,1426.34,8914.63,0.0,0.0,307614.26,0.0,480.14,415.16
1984-04-30,375.8,425.18,85408.37,268.72,482.73,845.34,4094.22,0.0,0.13,1324.17,377814.36,1381.06,8608.09,0.0,0.0,300057.2,0.0,472.1,409.15
1984-05-31,384.25,437.24,88828.13,277.34,496.16,866.84,4218.34,0.0,0.14,1350.82,386028.78,1416.27,8805.32,0.0,0.0,306067.69,0.0,490.7,426.43
1984-06-29,373.05,431.92,89063.33,275.01,494.69,874.73,4178.15,0.0,0.14,1317.69,378159.59,1373.84,8527.4,0.0,0.0,301435.35,0.0,508.38,435.08
1984-07-31,342.35,412.65,83799.74,261.84,448.72,839.96,3919.92,0.0,0.13,1201.28,349071.93,1251.18,7811.72,0.0,0.0,277173.7,0.0,569.81,406.65
1984-08-31,348.25,419.37,84035.34,266.14,450.8,837.7,4007.92,0.0,0.13,1228.44,362634.08,1277.87,7963.76,0.0,0.0,281185.01,0.0,546.33,409.75
1984-09-28,343.75,436.4,84562.21,278.34,453.18,866.52,4140.01,0.0,0.14,1226.78,369385.03,1285.29,8029.92,0.0,0.0,280510.0,0.0,574.93,414.59
1984-10-31,333.5,421.37,82186.75,273.14,438.74,834.88,4016.96,0.0,0.14,1186.23,351055.21,1203.76,7588.58,0.0,0.0,273420.17,0.0,635.1,392.03
1984-11-30,329.0,423.66,81327.1,274.62,435.16,839.33,4015.97,0.0,0.14,1174.51,350872.23,1209.35,8777.29,0.0,0.0,269813.06,0.0,610.19,384.83
1984-12-31,308.3,402.45,77716.67,266.01,408.23,803.83,3825.85,0.0,0.14,1106.43,331867.44,1134.42,8219.4,0.0,0.0,255666.66,0.0,612.8,374.12
1985-01-31,306.65,402.82,77640.32,271.13,404.78,815.49,3834.78,842.64,0.14,1089.32,325091.87,1101.79,8114.49,0.0,0.0,253249.78,0.0,602.12,373.91
1985-02-28,287.75,400.46,75449.31,266.44,402.45,829.81,3783.14,821.07,0.14,1047.68,311937.83,1043.65,8002.2,0.0,0.0,244833.25,0.0,587.72,410.6
1985-03-29,329.25,425.73,82616.63,266.06,449.73,856.81,4001.58,892.23,0.15,1183.82,344772.51,1144.11,8514.84,0.0,0.0,280428.8,0.0,618.03,471.98
1985-04-30,321.35,417.93,81705.22,258.63,443.08,843.83,3994.61,900.52,0.16,1168.87,356360.11,1178.75,8751.8,0.0,0.0,281071.15,0.0,629.93,503.42
1985-05-31,314.0,403.43,78609.6,244.07,430.04,806.78,3856.98,875.85,0.16,1132.42,342594.27,1128.77,8372.04,0.0,0.0,272709.8,0.0,622.85,468.86
1985-06-28,317.75,404.96,78952.48,242.56,431.87,807.11,3874.71,898.55,0.17,1156.03,348424.18,1146.08,8513.76,0.0,0.0,277649.96,0.0,622.77,473.71
1985-07-31,327.5,393.64,77544.39,232.52,443.53,754.52,3901.28,948.99,0.17,1205.6,369511.2,1219.78,8775.18,0.0,0.0,286988.14,0.0,714.52,457.01
1985-08-30,333.25,399.98,79544.62,239.23,454.78,769.13,3973.95,972.21,0.18,1220.86,375115.67,1233.96,8839.62,0.0,0.0,295526.02,0.0,753.89,475.47
1985-09-30,325.75,375.93,70455.94,231.19,445.23,714.96,3826.23,963.1,0.18,1184.63,364130.58,1191.57,8369.17,0.0,0.0,290471.24,0.0,830.44,459.26
1985-10-31,325.1,366.57,68753.77,225.61,443.99,698.82,3899.86,1001.2,0.18,1190.92,360653.25,1181.12,8482.82,0.0,0.0,290054.03,0.0,841.86,465.77
1985-11-29,325.3,353.9,65726.53,218.54,449.82,676.93,3861.15,1022.6,0.18,1182.97,358365.26,1172.33,8228.1,0.0,0.0,289224.01,0.0,879.25,473.03
1985-12-31,326.8,347.51,65490.56,226.08,457.19,673.57,3920.61,1047.35,0.18,1193.58,366475.66,1196.7,8614.44,0.0,0.0,291095.45,0.0,843.91,479.59
1986-01-31,350.5,364.1,67594.74,248.05,497.62,710.67,4329.04,1105.13,0.2,1268.36,387882.19,1275.99,8994.44,0.0,0.0,307966.56,0.0,799.6,490.53
1986-02-28,338.15,328.64,60984.17,233.69,480.4,638.35,4172.41,1084.47,0.2,1246.32,384803.05,1252.51,8862.56,0.0,0.0,300221.99,0.0,676.67,487.17
1986-03-31,344.0,348.01,61718.4,231.81,480.07,669.92,4172.51,1099.04,0.22,1251.75,387262.36,1259.69,8947.71,0.0,0.0,303244.21,0.0,720.98,481.92
1986-04-30,345.75,329.63,57680.74,222.92,475.04,626.41,4206.07,1086.76,0.22,1262.96,389404.61,1270.76,8916.83,0.0,0.0,306433.52,0.0,712.01,466.8
1986-05-30,343.2,350.96,59899.76,233.07,473.49,663.09,4364.66,1126.33,0.24,1253.12,391991.45,1259.76,9089.85,0.0,0.0,308695.85,0.0,805.44,481.88
1986-06-30,346.75,336.16,56735.83,226.26,480.81,622.68,4276.39,1101.73,0.23,1292.35,393070.3,1274.38,9050.58,0.0,0.0,307330.52,0.0,864.1,515.83
1986-07-31,357.5,332.15,54972.42,239.53,492.48,599.31,4468.86,1311.94,0.24,1341.14,399185.95,1312.69,9118.95,0.0,0.0,313632.6,0.0,911.66,600.31
1986-08-29,384.7,349.46,59682.58,258.45,535.33,634.45,4778.81,1438.69,0.26,1442.83,439981.27,1412.98,10042.24,0.0,0.0,342266.63,0.0,986.32,634.97
1986-09-30,423.2,383.64,65330.28,292.47,587.93,696.89,5376.88,1572.9,0.29,1586.6,691787.22,1554.06,10851.81,0.0,0.0,369087.52,0.0,941.49,673.63
1986-10-31,401.0,369.82,65478.19,285.31,557.78,687.24,5187.41,1500.55,0.29,1506.36,660302.58,1475.47,10485.07,0.0,0.0,352586.46,0.0,917.48,625.39
1986-11-28,389.5,345.5,63105.32,271.71,539.96,639.88,5069.26,1444.37,0.29,1463.31,638939.65,1432.74,9971.86,0.0,0.0,335152.42,0.0,868.46,599.81
1986-12-31,388.75,337.8,61832.14,262.23,540.01,630.19,5060.97,1430.87,0.28,1465.78,632246.06,1434.4,9953.79,0.0,0.0,333768.27,0.0,851.15,587.39
1987-01-30,400.5,334.76,61447.05,264.62,536.37,617.64,5264.7,1494.76,0.3,1496.4,657713.29,1465.74,10405.03,0.0,0.0,347664.7,0.0,833.57,602.05
1987-02-27,405.85,338.02,61216.59,262.52,532.78,614.11,5202.44,1473.85,0.3,1499.26,651217.72,1468.29,10285.94,0.0,0.0,341629.88,0.0,829.69,590.32
1987-03-31,421.0,346.74,61445.03,262.31,549.92,635.43,5419.54,1566.12,0.33,1576.0,697006.98,1543.47,10820.1,0.0,0.0,356768.09,0.0,848.16,595.83
1987-04-30,453.25,371.84,63736.17,272.96,605.7,669.43,5734.45,1687.11,0.35,1703.27,746884.13,1668.26,11532.56,0.0,0.0,378459.07,0.0,908.48,645.69
1987-05-29,451.0,375.9,64952.37,276.69,603.9,682.03,5758.33,1723.98,0.38,1687.1,766388.15,1652.46,11759.22,0.0,0.0,370657.39,0.0,909.14,631.54
1987-06-30,447.3,373.31,65632.63,277.22,594.78,677.81,5727.76,1678.25,0.38,1678.03,737569.35,1643.46,11504.77,0.0,0.0,358907.21,0.0,915.47,620.29
1987-07-31,462.5,391.91,67909.63,290.52,601.22,697.6,5938.18,1697.28,0.4,1702.95,753019.54,1667.56,11995.94,0.0,0.0,366498.43,0.0,942.34,649.77
1987-08-31,453.4,374.28,64394.79,277.56,598.29,676.56,5870.47,1686.31,0.4,1692.58,743654.37,1657.69,11560.52,0.0,0.0,365336.32,0.0,920.07,634.79
1987-09-30,459.5,384.69,66604.86,282.68,595.11,698.23,5954.31,1721.76,0.42,1709.28,756913.81,1673.94,11669.84,0.0,0.0,366900.36,0.0,945.34,639.04
1987-10-30,468.8,372.16,64960.22,272.24,618.73,672.83,6078.5,1711.56,0.43,1761.04,758869.17,1724.62,11721.52,0.0,0.0,374979.57,0.0,947.83,696.05
1987-11-30,492.5,371.97,65203.72,269.72,644.21,662.15,6230.42,1817.59,0.47,1849.44,796704.42,1811.41,12272.05,0.0,0.0,389806.29,0.0,958.97,698.97
1987-12-31,484.1,351.76,58714.4,257.71,629.51,616.76,6116.85,1758.86,0.47,1820.34,776608.67,1781.52,11789.23,0.0,0.0,379396.72,0.0,934.28,669.55
1988-01-29,458.0,352.89,59470.53,258.76,593.52,636.1,6056.53,1760.56,0.52,1746.0,780269.14,1710.25,11828.39,0.0,0.0,365858.77,0.0,924.98,654.77
1988-02-29,426.15,330.48,54719.1,240.29,537.58,592.84,5501.94,1580.14,0.5,1595.4,708952.85,1562.41,10643.49,0.0,0.0,323719.63,0.0,887.64,591.88
1988-03-31,456.95,347.7,56689.0,242.03,563.02,623.16,6171.05,1684.92,0.54,1709.38,755387.84,1673.69,11616.1,0.0,0.0,338778.75,0.0,965.9,614.69
1988-04-29,449.0,345.58,56080.25,238.89,551.84,625.9,5900.67,1664.11,0.57,1686.71,748498.76,1651.83,11228.0,0.0,0.0,330980.96,0.0,965.97,592.93
1988-05-31,455.5,360.76,57140.39,247.76,563.58,659.6,6119.11,1730.58,0.61,1714.96,775606.26,1679.43,11502.61,0.0,0.0,337941.91,0.0,1025.74,567.8
1988-06-30,436.55,364.4,58268.21,255.59,529.27,658.07,6143.33,1641.35,0.61,1634.58,741140.89,1600.59,11116.96,0.0,0.0,319114.23,0.0,1012.54,552.27
1988-07-29,436.8,374.62,58820.16,255.36,535.46,690.33,6290.75,1662.94,0.64,1662.48,765104.23,1627.91,11143.51,0.0,0.0,322211.64,0.0,1085.47,551.49
1988-08-31,427.75,369.07,58358.48,254.01,530.24,678.2,6120.69,1598.73,0.66,1601.65,733381.24,1568.32,10922.37,0.0,0.0,309388.8,0.0,1042.83,531.26
1988-09-30,396.7,341.8,53617.92,234.59,487.18,633.83,5773.74,1479.38,0.64,1496.87,673950.06,1465.91,10202.79,0.0,0.0,286281.79,0.0,996.84,508.13
1988-10-31,412.4,337.87,51768.65,233.19,502.76,619.13,6296.19,1526.76,0.7,1554.81,709698.02,1522.46,10377.05,0.0,0.0,289747.02,0.0,1024.02,504.51
1988-11-30,422.6,336.58,51497.63,228.37,501.5,614.32,6256.74,1557.63,0.74,1582.61,726966.04,1549.27,10573.57,0.0,0.0,289517.15,0.0,970.92,481.63
1988-12-30,410.25,332.66,51252.96,226.78,488.49,616.17,6123.14,1516.86,0.75,1537.14,704545.54,1505.61,10261.93,0.0,966.34,277911.2,0.0,976.07,479.76
1989-01-31,394.0,335.74,51430.46,225.08,466.25,630.22,5970.25,1487.86,0.75,1481.24,689890.59,1450.63,10002.49,0.0,932.95,269841.09,0.0,949.67,443.69
1989-02-28,387.0,321.64,49082.16,221.84,464.2,601.74,5884.35,1444.14,0.75,1450.17,681096.27,1419.78,9794.24,0.0,929.51,259669.58,0.0,961.19,484.28
1989-03-31,383.2,329.38,50605.27,227.01,456.47,635.11,5942.82,1452.5,0.78,1433.2,687149.39,1403.36,9713.49,0.0,946.22,257101.96,0.0,978.59,466.54
1989-04-28,377.55,321.84,50121.06,223.53,448.13,631.4,5922.89,1410.47,0.78,1413.83,665755.13,1384.7,9599.55,0.0,944.98,250784.04,0.0,965.54,474.78
1989-05-31,361.8,324.56,51480.31,230.08,436.46,617.19,5869.37,1348.77,0.78,1356.84,649178.78,1328.13,9318.22,0.0,934.12,238954.92,0.0,996.53,480.68
1989-06-30,373.0,330.9,53698.52,240.8,446.68,626.08,6142.86,1403.12,0.8,1397.8,664356.66,1369.02,9644.06,0.0,968.74,247982.41,0.0,1036.77,495.04
1989-07-31,368.3,310.91,50443.76,221.0,433.61,591.73,6011.26,1364.67,0.79,1374.37,649527.69,1345.86,9337.34,0.0,930.42,243816.28,0.0,973.07,486.16
1989-08-31,359.8,318.07,52020.64,228.66,423.02,607.67,5962.5,1352.83,0.79,1352.65,642839.0,1324.53,9317.98,0.0,919.91,241158.5,0.0,996.74,470.3
1989-09-29,366.5,312.36,51173.85,226.94,432.31,594.57,6115.9,1326.57,0.79,1382.66,647270.86,1353.89,9463.19,0.0,943.14,244908.26,0.0,988.64,473.1
1989-10-31,375.3,315.19,53571.85,237.83,440.11,605.88,6309.71,1394.27,0.88,1409.22,672384.37,1380.03,9691.69,0.0,975.11,252768.71,0.0,990.16,480.6
1989-11-30,408.15,332.89,58335.06,260.13,475.13,649.03,6881.84,1526.47,0.94,1531.08,731002.67,1498.89,10483.4,0.0,1040.54,274233.31,0.0,1063.36,521.05
1989-12-29,398.6,310.67,57287.2,247.19,461.63,614.89,6624.8,1873.48,0.92,1490.32,715762.45,1459.37,10036.07,1800931.67,1018.44,269064.42,0.0,1015.66,504.58
1990-01-31,415.05,321.26,59972.28,247.05,492.01,623.81,7041.03,1930.16,0.96,1557.43,745400.49,1524.94,10623.31,1867170.03,1059.86,283240.84,0.0,1063.2,540.0
1990-02-28,407.7,316.15,60672.52,241.24,485.74,607.93,6957.44,1936.77,0.99,1527.73,747408.26,1495.95,10494.05,1853648.09,1085.59,282356.36,0.0,1040.42,534.11
1990-03-30,368.5,283.87,57987.09,223.67,431.02,550.79,6334.4,1717.13,0.88,1376.82,652783.67,1348.13,9506.08,1622520.2,947.25,257424.64,0.0,976.89,488.39
1990-04-30,367.75,280.65,58375.7,224.31,428.31,533.85,6379.27,1739.56,0.92,1369.99,669724.54,1341.49,9510.58,1651644.8,982.46,258294.22,0.0,975.81,488.88
1990-05-31,363.05,280.21,55420.9,216.49,426.16,520.11,6295.47,1717.44,0.94,1371.67,671905.87,1343.2,9352.28,1646877.57,988.27,261068.13,0.0,967.27,472.16
1990-06-29,352.2,265.93,53602.28,201.89,410.65,498.67,6140.54,1652.16,0.92,1317.04,643678.58,1289.74,9085.13,1571727.93,946.87,251163.5,0.0,935.97,444.46
1990-07-31,372.3,267.8,54393.81,200.16,429.75,501.9,6457.2,1736.9,0.99,1385.82,683200.29,1356.99,9487.64,1660937.82,996.3,264292.86,0.0,963.08,469.68
1990-08-31,387.75,278.03,55780.68,204.89,447.68,507.1,6783.83,1846.96,1.07,1471.91,732412.13,1441.03,9844.85,1767463.94,1073.61,280291.51,0.0,995.96,476.31
1990-09-28,408.4,291.86,56458.81,217.99,471.4,530.26,7333.11,1937.87,1.12,1531.69,750542.46,1499.54,10321.71,1841723.47,1111.74,291580.3,0.0,1045.63,493.74
1990-10-31,379.5,262.61,49292.09,195.22,443.14,488.04,6895.03,1790.66,1.05,1427.52,728429.77,1397.36,9507.03,2408684.44,1071.25,272351.02,0.0,965.2,484.04
1990-11-30,384.85,264.8,51237.2,198.43,448.98,491.54,6999.61,2037.13,1.09,1443.37,733905.21,1413.71,9642.31,2478753.19,1107.08,274260.37,0.0,967.21,496.4
1990-12-31,386.2,265.67,53028.15,200.1,453.8,498.37,6948.86,2039.2,1.12,1454.87,743695.75,1424.98,9633.19,2543477.37,1116.78,279605.73,0.0,1000.25,506.48
1991-01-31,366.0,251.05,48101.57,186.26,425.98,460.06,6810.58,1903.03,1.11,1369.47,697763.29,1341.72,9167.7,2486522.0,1069.76,262751.88,0.0,930.03,467.79
1991-02-28,362.7,256.11,48220.78,189.85,417.47,480.78,6917.02,1927.77,1.21,1365.46,708074.75,1337.41,9141.06,2662609.11,1106.8,263600.63,0.0,931.1,462.65
1991-03-29,355.65,279.75,50208.24,204.51,411.28,517.42,6942.23,1914.91,1.32,1328.83,703234.38,1301.36,9121.33,2652360.88,1191.99,258393.48,0.0,971.85,457.7
1991-04-30,357.75,282.52,48765.23,207.51,412.06,518.26,7226.59,1853.68,1.39,1318.17,677328.21,1290.77,9147.11,2746716.8,1149.61,255187.39,0.0,992.26,456.21
1991-05-31,360.4,288.89,49902.39,212.12,412.79,534.02,7527.25,1959.4,1.48,1358.45,712877.58,1330.18,9212.58,2916526.17,1215.48,262950.01,0.0,1023.97,477.49
