text,type
"RT @ddsportschannel: Virat Kohli named captain of ICC's ODI and Test teams of the Year

The test team featured double-centurion Mayank Agar…",sports
"RT @UmarKhalidJNU: Brilliant, Amazing. 

Kudos to @FahadTISS &amp; all others in Mumbai for this protest.
https://t.co/g8076mQglK",sports
@IsbUnited Something cricket related please🙏,sports
"RT @BoldBrigade: Congratulating our Captain Virat Kohli for winning the 2019 Spirit of Cricket Award at #ICCAwards!

#PlayBold #ViratKohli…",sports
"RT @JAMMULINKS: Lieutenant Governor, Girish Chandra Murmu today inaugurated the renovated Maulana Azad Cricket Stadium today. https://t.co/…",sports
RT @HaroonsMusic: The spirit of cricket  award at the #ICCAwards should have collectively gone to NZ for how they reacted to Ben Stokes fre…,sports
"can the Indian team participate in a body-building competition
.
.
.
.
.
.
.
#teamindia #bodybuilding #competition… https://t.co/xaTsuVroqg",sports
@ExcuzeMiReturn @ECB_cricket and @cricketcomau make best cricket vedio packages.,sports
RT @DhanrajNathwani: The #Hitman Rohit Sharma has been a run machine throughout this year winning the @ICC 2019 ODI Cricketer of the Year a…,sports
"@BoiseFryCo &amp; Idaho company Orchestra Provisions team up on new fry combo with ""cricket"" seasonings. https://t.co/GXrt0KRicD",sports
RT @cricketcomau: Pat Cummins has been named the ICC Test Player of the Year while five Aussies made the ICC Test Team of the Year: https:/…,sports
"RT @IExpressSports: Twenty years ago this week, South Africa and England forfeited an innings to revive a dying Test and produce an enthral…",sports
@zimrobbie @Lewinzoe @ryanburl3 @ZimCricketv It's really tough to watch as people play with players' livelihood. As… https://t.co/xWxFy8aZWg,sports
"RT @bbctms: Why we should enjoy the latest ride on the England rollercoaster. 

Special report from @stephanshemilt on the ups &amp; downs of f…",sports
"Details Of ICC Awards And Teams Of 2019 On Wednesday (15th January), the International Cricket Council (ICC) announ… https://t.co/irNspnJF0D",sports
Resign from Test Cricket @AsicsCricket,sports
RT @Sportsfan87349: Sad no TV channel in India interested in telecasting W.Indies vs Ireland cricket series.Would have been good if @ddspor…,sports
"RT @secretcamera: @ebony_bennett @simonahac Concerts cancelled

https://t.co/K6IEtM7zrg

https://t.co/QRxcYWMF3l

Sporting events cancelled…",sports
RT @aaliaaaliya: Wasim Khan is the best thing happened to Pakistan cricket board so far. Only remedy to move forward is that you bring top…,sports
"No D/N games? No games at RPSC?

Do @OfficialSLC think they can develop cricket like this? https://t.co/AvMEklR52v",sports
RT @MithunManhas: Many congratulations to the people of Jammu &amp; Kashmir and the cricketers of the state . Now we have an international stan…,sports
@wonmwou It's a cricket sound,sports
RT @Saj_PakPassion: This is only the 2nd time in history that India has lost an ODI at home by 10 wickets. The only other occasion was in 2…,sports
"#INDvAUS 

Rishabh Pant was ruled out of India’s second ODI against Australia as the young wicket-keeper batsman ha… https://t.co/YSZmrKN15M",sports
@AaronFinch5 Your Australian cricket team washed our Indian team as if we Indians had set fire to the forests of yo… https://t.co/bbrNKJe4Nr,sports
RT @ElectronicsNews: Smart Cricket Ball measures your bowling performance - The #Sportcor Smartball is the work of a technology start-up an…,sports
"Muhammad Irfan(@M_IrfanOfficial) in Bangladesh Premiere League Today.

4-overs
16-Runs
2-Wickets
17-Dots
4.0-Economy

#BPL #Cricket",sports
@DanCricket93 Matt Prior 🤢🤢 that man has a bigger ego than KP. Can't also remember him scoring runs in a tough situ… https://t.co/DPVBMrQ24r,sports
"RT @cricketcomau: The @RenegadesBBL set the @ThunderBBL 173 to win in Canberra. 

Scorecard: https://t.co/ABTbqE2nyb #BBL09 https://t.co/Xe…",sports
"RT @Saj_PakPassion: Babar Azam ""I am thankful to ICC &amp; its jury for recognising my achievements with the bat in 2019 &amp; considering me worth…",sports
"Good News 
Multan Cricket Stadium renovation work is complete  Multan is ready to host 3 #PSL5 matches 😇😇 https://t.co/3OIiWCd71p",sports
"RT @bbctms: In @bbl @RenegadesBBL set 172/4 as the holders search for a first win of the season. 

But can @AlexHales1 &amp; @ThunderBBL chase…",sports
"RT @toisports: #iccawards #Cricket

@imVkohli named captain of @ICC's ODI and Test teams of the year 🏏

Apart from #ViratKohli, there were…",sports
"RT @indiabet: Just two days left! Don't forget to buy tickets for the draw. 

https://t.co/l1lku6h5M5

#BPLseason7 #Giveaway #ContestAlert…",sports
"RT @BBL_365: AB de Villiers has named the best five bowlers he’s faced in his career:

Shane Warne
Stuart Broad
Mohammad Asif
Josh Hazlewoo…",sports
Chapri Nibbas after hitting sizes in a Gully Cricket tournament. https://t.co/cpQeyA5ckT,sports
@SugarGenius123 @fixcric @ICC @imVkohli That is the my point.Dont explain to them.they dont understand because this… https://t.co/12vN6SZNSG,sports
@davidwarner31 Your Australian cricket team washed our Indian team as if we Indians had set fire to the forests of… https://t.co/KksHSWQUOQ,sports
"Karim lala
Haji mastan
Varada bhai 
Tomas kurien 

None of them were into drugs/narcotic smuggling.. 
Didn't contro… https://t.co/JcdIvtWW0M",sports
England will wait until after Wednesday's final net session to decide which of their fast bowlers to throw into Thu… https://t.co/mmEg4Iyry4,sports
"RT @ddsportschannel: Ben Stokes has been named the ICC player of the year 

#Cricket #ICCAwards https://t.co/6xNkqO6eTO",sports
"RT @RCBTweets: Remember that moment from the World Cup when Virat appealed to the crowd at The Oval to not boo Steve Smith? 
#KingKohli rec…",sports
@naveednadeem91 He retired from professional cricket no  league no domestic everything done,sports
RT @ACNI2012: @Aman53547797 @TheToka920 OMFG .. who is this @Aman53547797 ?? Who has 1 or 2 followers ?? Every country knows Malinga is the…,sports
RT @Im_Hariom_: Five days test are not finished yet. Test cricket is 143 old fit person. It has a soul... Chaar din ki sirf chandni hoti ha…,sports
Remove Asantha De Mel as a Sri Lanka Cricket Selector and the Manager https://t.co/nOMtduqtWD,sports
"RT @TheRealPCB: National Triangular T20 Women’s Cricket Championship 2019-20!
Final to be played between PCB Challengers and PCB Blasters o…",sports
A sort of causeway across the cricket ground in #Berkhamsted Park was called Petticoat Lane in Victorian times. It… https://t.co/0qRuQQIetj,sports
RT @BCCI: #TeamIndia Captain Virat Kohli is the winner of the 2019 ICC Spirit of Cricket Award for his heart warming gesture to ask the fan…,sports
"RT @ScotsmanSport: ""It’s a huge honour to even be considered for the 2019 Associate Player of the Year award. I certainly didn’t expect to…",sports
"RT @BlaqsInCricket: Farewell JEAN-PAUL DUMINY. Wishing you all of the best in your next chapter. 

You have serves cricket and your country…",sports
"RT @ICC: Who remembers this gesture from Virat Kohli during #CWC19?

The Indian captain is the winner of the 2019 Spirit of Cricket Award 🙌…",sports
"When MS Dhoni Comes to Bat for India 😂😂😂

#Cricket https://t.co/HOhPfBvYQ1",sports
"Once @msdhoni set an example, won spirit of cricket award back in 2011, and his most trusted most dear buddy,… https://t.co/8H92lNevgy",sports
RT @ICCLive: It's all over! United Arab Emirates Under 19s win by 253 runs https://t.co/G4sIqGGZb8 #JPNvUAE #U19CWC,sports
"RT @IAHsWarrior: CSA should release #SandPaperSaga on Netflix. 

Something like ""watch the dramatic unraveling of Cricket Australia during…",sports
"RT @markwatt123: One of the nicest guys in cricket, massively deserved and a great leader of our team💪🏼 Many more years of blasting them to…",sports
"@ESPNcricinfo @miller_cricket has to be Botham, back in the days when Cricket was Cricket",sports
"RT @Rohitions45: King Of Limited Overs Cricket😍
@ImRo45 @ritssajdeh @soumitraro45
#TeamIndia #rohitions45 #indvsaus #indvaus #rohitopensaga…",sports
RT @EdBevanCricket: Cricket Australia has rearranged their One Day series against Zimbabwe to be played in August which clashes with The Hu…,sports
"@Gabino_Iglesias @pankmagazine Ah, Gabino-sama. Your wisdom is like a cricket on a back porch.",sports
@Shelikes_juice nooo chats are proofffssss 😁😁😁,sports
"#WestIndiesvsIreland, 1st T20I 2020 Live Streaming Online: Get Free Telecast Details of #WIvsIRE on TV With Match T… https://t.co/ECfCnANXqA",sports
RT @ICCLive: It's all over! New Zealand Under 19s win by 4 wickets https://t.co/6dq5u5z1fR #NZvBAN #U19CWC,sports
"SIX vs HUR Dream11 Tips To Win ALL Leagues

Source: https://t.co/Ve3j2mZmCX

#SIXvsHUR #Dream11 #Dream11Team",sports
RT @ICCLive: It's all over! Australia Under 19s win by 9 wickets https://t.co/08XMHMdUxR #AUSvCAN #U19CWC,sports
"RT @cjwerleman: The protests against Indian government's anti-Muslim citizenship laws reached Mumbai's Wankhede Stadium on Tuesday, with a…",sports
Smart Cricket Ball measures your bowling performance - The #Sportcor Smartball is the work of a technology start-up… https://t.co/DeiBIrZxVs,sports
"RT @ICC: He took Test cricket in 2019 by storm!

Marnus Labuschagne reflects on a special year for him.

#ICCAwards https://t.co/4vdZz8kQUU",sports
it's been a long week of cricket and travelling still got one more game and travel this week. but it is always wort… https://t.co/DVUU9YrsEC,sports
"RT @ICC: Deepak Chahar's 6/7 against Bangladesh in November are the best figures in the history of men's T20I cricket. 

That spell is the…",sports
RT @SamLandsberger: Fearless Adam Zampa clamps King Kohli to show why he's a World Cup weapon in waiting #INDvAUS https://t.co/B9ryhkYeth,sports
"RT @ICC: Marnus Labuschagne had a stunning 2019 averaging 64.94 with the bat in Test cricket 🔥 

A deserving winner of the 2019 ICC Men's E…",sports
"RT @HTSportsNews: #ICCAwards | “I’m surprised that I have got it ('Spirit of Cricket'), after many years of being under the scanner for the…",sports
"@itsmeSehrish Bro Kane got that award last year
Spirit of the Cricket means to have great gesture towards other pla… https://t.co/b6Jaet64d2",sports
"RT @cricketcomau: Bowlers to dismiss Virat Kohli the most in white-ball cricket: 
6 - Ravi Rampaul 
6 - ADAM ZAMPA

https://t.co/TW1IH4PhvJ…",sports
Brentwood win the 3 game series 3-0 against @SportsBancrofts but a great afternoon of cricket! Thanks @EssexCCB for… https://t.co/cWJIkIwQ6o,sports
"RT @Saj_PakPassion: ICC Awards #Cricket

Sir Garfield Sobers Trophy for Best Cricketer of the Year – Ben Stokes 

Test Cricketer of the Yea…",sports
"RT @ESPNcricinfo: Ben Stokes appears to be reaching his golden age, but how does he stack up against his celebrated predecessors, asks @mil…",sports
@SGanguly99 @imVkohli @BCCI @My11Circle I totally agree. They gonna play new brand of cricket in coming ODIs.,sports
Zimbabwe Cricket 🤦🏾‍♂️ https://t.co/372BlceKuf,sports
RT @FCC1860: The club is delighted to advise that Lyle Robertson has been called up to the Cricket Scotland U19 World Cup in South Africa.…,sports
RT @dizzy_cricket: @TrishSuter @d_ast777 @HLNida2 @Kristal081670 @AlynaLochlan @JeanGrant05 @peggy_jaeger @donnavstone @njadegray1 @DeBlois…,sports
"@aaliaaaliya She has officiated many times in ODI cricket ICC World Cup League 2, Tri Series ODI in Florida being t… https://t.co/sKqsY0niPl",sports
RT @JammuKashmirNow: LG G.C. Murmu inaugurated the Maulana Azad Cricket Stadium #Jammu . The new stadium developed exclusively for Cricket…,sports
@InMyOwnBubble_ Yep nobody can rule Indian cricket like Dhoni.. Thala illama match paaka interest ey varala :(,sports
"RT @ians_india: Star #Indian cricketers #ViratKohli and #RohitSharma have won big at the #ICC Awards for the year 2019, which were announce…",sports
"Yuzvendra Chahal, Shreyas Iyer, Shikhar Dhawan &amp; Manish Pandey flaunt abs while sweating it out in the gym🔥.. See p… https://t.co/PJWszPLoFu",sports
RT @ITGDsports: #INDvsAUS | Rishabh Pant had suffered a concussion after getting hit on the helmet in the opening game of the series in Mum…,sports
"RT @WajidAfridi551: #1YearOfTeamISF
He retired that same year, having secured a reputation as one of the greatest cricket players in histor…",sports
"@miller_cricket @AliIftekhar1 @ESPNcricinfo no way, I've used a wrench as a hammer plenty of times, can't use a hammer as a wrench though 😉",sports
"RT @mvmeet: During India Vs Aus cricket match,

did you watch the fight between patriots &amp; anti-nationals?

Yes, during today's match at Wa…",sports
"RT @diprjk: Lt Governor, G C Murmu inaugurated the Maulana Azad Cricket Stadium #Jammu .The new stadium developed exclusively for Cricket a…",sports
"RT @zobaida_jalal: Kids demanding for cricket sports goods at Agriculture Research Farms, Turbat. https://t.co/MaKm76Z7md",sports
"@IsbUnited Something to do with our home ground, Rawalpindi Cricket Stadium?",sports
"RT @AsharJawad: Kane Williamson deserved the Spirit of Cricket Award for the grace he showed in accepting the World Cup final result, despi…",sports
Paterson could make test debut as https://t.co/iAJ7d2EJlw mull options https://t.co/hJGdTXhJgh https://t.co/fRNzo9qaQc,sports
"#INDvsAUS #AUSvIND 'Concussed' @RishabhPant17 Ruled Out of #Rajkot ODI vs #Australia

#RishabhPant #ViratKohli… https://t.co/cYgnPBY7dT",sports
"RT @cricketworldcup: 2️⃣ days to go for @ICC U19 Cricket World Cup 2020!

Bangladesh all-rounder Afif Hossain was one of the stars of the 2…",sports
"RT @johnpavlovitz: Anyone posting #NeverWarren gets blocked immediately.

That kind of nonsense tells me that you're really only concerned…",entertainment
@GadhviLaxman BIGGEST TRAITOR.. I am so happy her movie flopped.. hope all her movies flop in future.. such traitor… https://t.co/CLWyqUkxtj,entertainment
"RT @TheStagerTv_: #Pattas Tamil Movie Review by Dr. R. Suresh Kumar. Watch unbiased and standard review

Here ▶️ https://t.co/KuaWUgcbHP

K…",entertainment
RT @LoreDeFelici: Batman piece I did as a poster for a movie convention.. weird meta-stuff! https://t.co/mhBFFTDAnz,entertainment
"RT @kady54033: Mrs. Y's 5-⭐️ It was as if KD McNiven somehow crept into Spielberg's brain and instead of creating a movie, we got the most…",entertainment
Best movie in 2020 until now 😂👏🏻 https://t.co/UF4QCeeUDL,entertainment
"RT @Bangalore_RFC: It's just becoming so hard to control the Family Audiences for a #Thalaivar movie in Bangalore🔥

Many audiences failed t…",entertainment
RT @weeabob: so youre telling me. YOURE TELLING ME. that this movie. WITH THESE ANIMATIONS. DIDNT GET NOMINATED FOR AN OSCAR https://t.co/Q…,entertainment
RT @letterboxdlucy: honestly? joker is the kind of narcissistic sludge that brings out the worst in people. one day after oscar noms and so…,entertainment
RT @zthunda: this movie had no business being this funny lmfaoooo https://t.co/pGr7Z79Hha,entertainment
@BiggBoss @TeamAsimRiaz @imrealasim @justvoot @Vivo_India @BeingSalmanKhan Hos journey was amazing and inspiring...… https://t.co/fZFa6bPWqN,entertainment
"RT @whoissjadee: him: wanna watch a movie?
me: wanna make one instead...
us: https://t.co/WL9Qk4MRMG",entertainment
RT @mexicankaspbrak: fuck queerbaiting let’s start doing hetbaiting‼️ put posters up for a movie with straight couples being cute and then…,entertainment
"RT @ThisOffendsMeTV: His whole character was cringe.

BUT he was a bullied man with issues, who had no social awareness whatsoever. A lot o…",entertainment
"Someone said I'm weird for watching #TheJoker movie twice and that it was difficult for him to watch even once.

Si… https://t.co/nG7fpvBIxP",entertainment
RT @TracybBeaker: “My ex is Lewis Capaldi” yeah alright babe n my mum is a famous Hollywood movie star but u don’t hear me going on about i…,entertainment
RT @grangershug: this movie is literally art i can’t shut up about it https://t.co/9wuUlezazt,entertainment
"RT @disneyplus: Meet Stargirl Caraway in @Stargirl, an Original Movie, streaming Mar. 13 on #DisneyPlus. https://t.co/sGPhVAtnYM",entertainment
"RT @GaryPoleman: colorblind niggas be talkin bout “ my life a movie ” yea nigga, 50 shades of grey",entertainment
"RT @Scaramucci: Name one Hollywood movie where the bully won?

Exactly. 

We can defeat @realDonaldTrump and we will.",entertainment
RT @fallingforjeon: yoongi choosing jungkook as his main character if he were to make a movie since /2018/ . oh https://t.co/73d4bIKThY,entertainment
"@1followernodad Because it happened, it was important, and women were really no part of it.

If you want a war movi… https://t.co/oZ8IsFrXlN",entertainment
RT @mrpritam: I wish that @BeingSalmanKhan Sir also do one Historical based Movie like #Tanhaji It will Roar on Box Office. What do you say…,entertainment
"RT @u4eakooks_net: Firstly, please talk about the movie you participated in.
🐰 The main lead who is Jungkook, when he was a child, had a po…",entertainment
"RT @Stargirl: You think things have to be real or magic, but the best things are both. @Stargirl, an Original Movie, streaming Mar. 13 on #…",entertainment
"RT @Stargirl: Meet Stargirl Caraway in @Stargirl, an Original Movie, streaming Mar. 13 on #DisneyPlus. https://t.co/mI12BPwuqu",entertainment
"@AbstractKryptid Pulp Fiction o.o
Well many people already know this movie. A classic one",entertainment
"RT @VertigoWarrior: Recent movie collections
-Good News: 194 cr (Still running)
-Dabangg 3: 135 crs (Almost done)
-Chhapaak: 21 crs (4 days…",entertainment
RT @Drift0r: Finally watched Joker. It is an incredible film and deserving of its Oscar nominations. Probably the best movie DC has ever ma…,entertainment
"@Flonk2 @aalgar Because it is there! Gee whiz, Flonk, did you actually watch the movie?",entertainment
"RT @Pavan17706552: #DARBARUnstoppableBlockbuster 
#darbarmania
#ThalaivarFans 
This is Purely Dedicated to all the Thalaivaar Haters If u D…",entertainment
"RT @el_capi_de_siam: The real Batman and Commissioner Gordon (Still waiting for the BatFleck movie, @wbpictures)
#ReleaseTheSnyderCut https…",entertainment
"RT @THM_Off: Guys, tune into @SunTV ..!!! The World Television Premiere of ""BIGIL"" movie has started now.. Captain Michael intro is on the…",entertainment
"RT @disneyplus: You think things have to be real or magic, but the best things are both. @Stargirl, an Original Movie, streaming Mar. 13 on…",entertainment
"RT @nicahls: inosuke asks about tanjirou's sexuality, the thrilling movie https://t.co/xwLm2zsGn2",entertainment
"RT @TBO_Updates: So called a BO website posting hyped numbers to one movie and giving double discounts to another movie!! 
Following n+10 a…",entertainment
"Vijayawada today (15/1/2020)
#AlaVaikunthapurramuloo 4th Day

Noon Shows : 4/4 Fulls 
Matinee shows : 4/4 Fulls
Fir… https://t.co/nJlXlaNQW2",entertainment
RT @Politidope: Is this a mob movie or a presidency? https://t.co/4OP2yT8aWE,entertainment
"RT @CeciConnolly: Great movie, but we’d be laughing our butts off (read to the end of this story. It’s worth it) @RoigFranzia https://t.co/…",entertainment
RT @jpvaught_: 1917 best movie of 2020,entertainment
With the deep deep freeze and constant snow we’re experiencing the premise of the movie “Day after Tomorrow” doesn’… https://t.co/msddiB2nW5,entertainment
"RT @TamilCensor: #Thalapathy #Vijay is truly in the right path. In Box Office he has proved that he is at the Top. 

It’s time to show that…",entertainment
RT @sofiannaa_: SKAM ESPAÑA SEASON THREE IS BASICALLY THE MOVIE FEAR #SkamEspaña https://t.co/0eN9j6JEOF,entertainment
@NotLikeFreddy Lots of really good character intros in The Quick and the Dead. That movie is also great for how muc… https://t.co/gan4R2br91,entertainment
RT @lindsayzoladz: saw Little Women again yesterday and right at the moment when Tracy Letts' character suggested that Jo sign away her cop…,entertainment
@liishaMAC Did We watch the same movie? I gotta research the real story cause I disagree if we going based off the film,entertainment
"RT @theferocity: Since watching “Parasite” at @GatewayFC this weekend, I’ve read basically everything I can find about the movie (and watch…",entertainment
@VijaySethuOffl @ChandaraaArts @CineInnovations @roghanth @akash_megha @Actor_Vivek @jayam_mohanraja… https://t.co/snmrLfYxvY,entertainment
@houstonthegoat LMFAOOOO HE WAS SO INTO THE MOVIE,entertainment
RT @mm_0774: @jtiku @Rupeshpa2 @SaveSabrimala @NeonKashmir @dharmicverangna Aray basically pandita is the trigger point for them n they r i…,entertainment
@SAWasteland To me Endgame was by far the best movie and I'm not alone it did become the biggest movie ever for a r… https://t.co/2ZWQcUgY5b,entertainment
"@Matt_Fra_ Oddly enough, the tricks they were trying to use to get the feel they were going for were the reasons I… https://t.co/GJ14ldMOWD",entertainment
"RT @CrackedMasalu: I want @akshaykumar to do a such a bad*ss movie 🔥🕺
Ravi Teja mass 🔥
#DiscoRaja https://t.co/DrIlaDfUng",entertainment
"@bread157 @benshapiro But it’s not a great movie, you didn’t miss out aha",entertainment
"@SonyMoviesSA thanks for the Jumanji hamper🙌🙌🙌

You can still see the movie #JumanjiTheNextLevel in cinemas https://t.co/sVeFbJk1Ed",entertainment
"RT @Sethrogen: When we design a movie poster, we think of every context it might be viewed in.",entertainment
RT @IAM_Johnathan: I want a movie night and cuddle session 😩,entertainment
"RT @HaramiParindey: How actors for movie roles are decided in Bollywood:

- If something is wrong with the actor : Cast Ayushmann Khurrana…",entertainment
"RT @VinayKu34718974: Tirupati pjr movie
#EnthaManchiVaadavura 
Matinee show- full packed
@NANDAMURIKALYAN @Mehreenpirzada @sathish_vegesna…",entertainment
This movie's a masterpiece. https://t.co/bQsvfdBf9C,entertainment
RT @RjSanchari: A movie that made @iHrithik &amp; @ameesha_patel overnight stars! It is #20YearsOfKahoNaaPyaarHai today! With the release of th…,entertainment
RT @CHERRYVEV0: Pick any song from Harry’s two albums- not the ones below- and I’ll make them into movie posters like the one below and I’l…,entertainment
RT @BaruaGauri: RT if you think @Hrithik's acting in the movie #Super30 not only deserves Filmfare or IIFA but also deserves National Award…,entertainment
@StandingHannah The set for the next Godzilla movie? That thing needs some dinosaurs smashing all of the buildings.,entertainment
@AnndaParatha One of my fav movie 👏,entertainment
I feel so bad for people who didn't see the cats the musical the movie movie in theaters. It was truly a magical experience.,entertainment
@lucid_unicorn said I have taste even thought I wrote a quick informal movie review. So bye hoes,entertainment
"Nearly every character he's ever made is raped, killed or has some form of magic. 

And I wouldn't expect a white g… https://t.co/6vMiJZ608W",entertainment
"RT @kingoftalk: Reunited! Daniel, Kathryn to work on new series, movie together - https://t.co/GYgxKIQMo8",entertainment
Was watching Jackie Chan’s new movie trailer and i went oh thats David Chan lmao like JACKIE WHO NOW,entertainment
#MakeItHappenWithYou was so amazing movie 😍,entertainment
"RT @fourdeadkids: after 5 years: jan with his degree, jan has his own movie, jan became a singer, jan has big fanbases, jan was paired with…",entertainment
@RobertSkvarla @DiaboliqueMag Fantastic work!  And i think I've got my next movie night planned.,entertainment
@RagavanRaama Yes! Maybe for budget irukkalam. Nalla movie theriyama ponnadu varatham.,entertainment
"Most powerful scene of entire movie #Rayappan death secene 😭 right now @SunTV

#BigilPremiereOnSunTV… https://t.co/XJIAdvCdB4",entertainment
"RT @etimes: .@actorvijay's second poster from #Master has been unveiled and it is receiving a massive ‘wow’ from the audience

#MasterPonga…",entertainment
RT @auraambitions: because of Frank Sinatra Las Vegas became integrated and no longer were black performers forced to perform at casinos wh…,entertainment
"RT @WingsForX1: One It! We woke up today to win a war. We've learned to defend X1, now it is time for us to charge! Gear up and fight until…",entertainment
RT @cnnbrk: This year's list of artists entering the Rock and Roll Hall of Fame is out. Four of the six picks were on the ballot for the fi…,entertainment
"RT @ABSCBNNews: Reunited! Daniel, Kathryn to work on new series, movie together https://t.co/HYHgL1IYbe",entertainment
