UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
32608,77560,United Kingdom,05-04-2020,"#jacobreesmogg Buying up businesses at slash down prices, Profiteering on Covid 19 and peoples misery, His selling of abortion pills in 2017 while spouting his anti abortion religious stance on national television is
""HYPOCRISY"" at it's highest level #BorisJohnson sack him now. https://t.co/xvBglJW69R",Extremely Negative
10367,55319,United States,19-03-2020,In a consumer economy #coronavirus layoffs are rapidly leading the U.S. into the next big #recession  https://t.co/8jdwlY5gIH,Neutral
13992,58944,"Toronto, Ontario, Canada",20-03-2020,"Temperature check on how Canadians are feeling about ads during this time ... they don't want to see it. A consumer mind shift that is going to be hard to overcome in the next few months/yr #canadalockdown #canadiandata #advertising #covid19 #coronavirus 

https://t.co/adAg6NPCgU",Positive
38365,83317,,08-04-2020,"@SFY  ru serious feeling sorry 4 NBA players living  paycheck to paycheck?? Right now grocery store employees making around $25,000 /yr  r dying from Covid-19!! So r police officers, bus drivers, nurses,doctors etc..",Neutral
26000,70952,"Virginia, USA",25-03-2020,"@TiffHughes71 IÂve been trying to figure that out for weeks now! I have always put hand soap, sanitizer, bleach, tp on my list! I have it already so need to hoard!! I donÂt know wtf ppl were eating, cleaning with, or using to wipe their asses with BEFOR",Negative
32014,76966,"Champaign, IL",04-04-2020,"2/ ""#Hog and #pork prices have plunged since the release of data showing the biggest-ever U.S. #pig herd and as the #coronavirus outbreak keeps schools and restaurants closed."" https://t.co/XmYYVf2C1F",Neutral
38190,83142,Singapore,08-04-2020,One of the potential positive effects of COVID-19 on Christianity is that the epidemic is likely to kill off consumer Christianity... https://t.co/5CAYiPLo5T,Negative
33266,78218,,05-04-2020,"A LOT OF MUSLIM SHOPS ARE SELLING HALAL FOOD BUT AT HARAM PRICES
( during this period of covid 19)",Neutral
28007,72959,"London, United Kingdom",26-03-2020,"As to the reaction of the Stock markets with stock prices going up on the news of the Econmic Stimulus Package with stock prices going up during the last three trading sessions including today's, it is a HOAX as nothing in the economic fundamentals 11 #coronavirus #usa #trump",Negative
31448,76400,Cape Town,03-04-2020,Has anyone noticed his hair is more normal?? Maybe orange is not an essential item at his local supermarket #day8oflockdown #coronavirus https://t.co/6xUaoLckOQ,Neutral
22859,67811,Ontario,24-03-2020,If you re facing short term financial issues because of contact your bank to see what they can do for you For example some banks might be open to waive certain fees or delay payments Learn more,Negative
37894,82846,,08-04-2020,I feel more secure knowing we ll have our own supply of fresh fruit and veg Forget stockpiling  meets people overcoming the empty shelves by panic sowing making their own eco sanitisers and more,Negative
27832,72784,USA,26-03-2020,Fucking Jason #coronavirus #hoarders #toiletpaper #fridaythe13th https://t.co/I9q9h8Ix9t,Neutral
39615,84567,"Washington, D.C.",09-04-2020,@Safeway I was just at your store in Van Dorn plaza. Why arenÂt The workers wearing masks?? And only half of them were wearing gloves! I watched a lady stock a cooler and her face was about 6 inches from the food she was stockingÂ#WTF #coronavirus,Neutral
20380,65332,"Millom, England",22-03-2020,@ShippersUnbound can you help get the message out to get supermarket staff PPE as supermarkets are now becoming flashpoints for crowds of people gathering potentially spreading covid-19. There also needs to be a limit in the number of people entering each,Positive
7404,52356,"New Freedom, PA",18-03-2020,"#ProMach understands the importance of consumer packaged goods in times like these &amp; remain committed to helping our customers keep their packaging lines operating while focusing on the safety &amp; protection of everyone. #EPI #Labelers

https://t.co/P12IorOYw4",Extremely Positive
7869,52821,"Washington, DC",18-03-2020,"1. .@kroger refuses to give paid sick leave to all of its employees Â even though they are on the front lines of this pandemic.

Instead, everyone gets a $25 Kroger gift card.

And they are attacking me for reporting the facts.

https://t.co/S4nhZP3ufo",Negative
25016,69968,,25-03-2020,Forcing people to wait in line and stand 6 feet apart just to get into a store for food will ramp up fear hysteria and a very panic shopping you claim to want to prevent,Extremely Negative
17944,62896,Singapore,21-03-2020,"I predict that when the Covid-19 panic is over, temples around Thailand will have so much donated canned food, toilet paper, cooking oil, sanitizer gel, mama noodles that there is going to be a new supermarket chain - Dharma Superstores.",Negative
35665,80617,"Accra, Ghana",07-04-2020,Between SpaceX and Tesla Elon Musk s companies are now producing Face Masks Hand Sanitizer and Ventilators to help flatten the curve We need more giants in the Auto Industry to take initiative like Tesla amp GM,Extremely Positive
23310,68262,"Adelaide, Australia",24-03-2020,Adelaide peeps I m on now talking about supermarket and their new customer rules amid the COVID 19 pandemic Tune in,Neutral
4198,49150,Actionable advice here:,16-03-2020,"I see so many (even big) accounts going absolutely apeshit about this virus.

Don't let yourself be defined by the negativities of life.

I know it's easy engagement, but stay your course.",Positive
37539,82491,"Austin, TX",08-04-2020,Thank you @TitosVodka for donating 12 gallons of hand sanitizer to ADRN for distribution so that we can continue to help Austin's medical and emergency management community! We're thankful for your faithful partnership! #LoveTitos #coronavirus #goodnews #disasterrelief https://t.co/7cnohWSUtR,Extremely Positive
10111,55063,750' in Elv.NW NJ ,19-03-2020,"Hay @GovMurphy and state of NJ , the gas tax is now about 75% of the wholesale gasolime prices per gallon.
 
Gov Murphy should suspend the 
$.414 per gallon gas tax for the next 3 months on all gasoline and diesel sales to help out New Jersey residents. #COVID19 #Coronavirus https://t.co/1zhDr1fLpT",Positive
33981,78933,"1030 15th St NW,Washington, DC",06-04-2020,"The economic downturn, cheap oil + gas prices &amp; global supply chain disruptions will likely have major consequences for clean energy development + climate action.

At 4:00 PM today, @ACGlobalEnergy hosts ""COVID-19: Clean energy and climate impacts"" https://t.co/rtSLtAPhKi",Extremely Positive
25666,70618,London,25-03-2020,"COVID-19: Additional Guidance Regarding FOIA, Timeline Waivers And Budget Extensions https://t.co/E8cw7DMDQm #Insurance",Neutral
4157,49109,"San Francisco, CA",16-03-2020,"I know. Like a lot of you, IÂm kind of freaked out and nervous too. But then I remember...this is to protect us. And this is why this kind of extreme measure works as told through stick figures, sound effects  and my own voice: https://t.co/vPNJY2ZNrx",Positive
13083,58035,"New Mexico, USA",20-03-2020,"??? Price gouging is up as a result of the coronavirus (COVID-19). It is illegal! Always report price gouging in New Mexico and Southwest Colorado. Check out this article on spotting price gouging!

#BBB #COVID19 #BBBDelivers
 https://t.co/C1U6aB7dwD",Negative
4751,49703,,17-03-2020,"AR #COVID19 LATEST:
@AsaHutchinson : Food supply, food supply will continue. We don't need to engage in panic buying. 
#Coronavirus #COVID19 #ARNews #KATV7",Negative
35223,80175,Chicago and Milwaukee,06-04-2020,"Ahlstrom-MunksjÃ¶ provides products that serve many critical industries including healthcare products and solutions for life science diagnostics, food packaging and essential shipping materials, which are all in high global demand due to the COVID-19 virus https://t.co/9fgeivd6d3 https://t.co/dPwd9E2xYw",Negative
28079,73031,"Newbury, Berkshire, UK",26-03-2020,The amazing and have managed to get production of hand sanitizer up and running but they need help Please click below for details,Extremely Positive
5176,50128,,17-03-2020,"""UK supermarket group Morrisons has announced it will recruit 3,500 new staff - and boost its home delivery service, to cope with the surge of demand due to the coronavirus."" A small bright spot! On a day like today, every one is welcome. https://t.co/RUWKWplUpq",Extremely Positive
5539,50491,Boonwurrung land ,17-03-2020,"Yesterday, my grandmother was screamed at and accused of having COVID-19 at the local supermarket solely because she's Asian. Today, my sister was attacked at school where kids poured water on her and called her a ""dirty ch*nk."" #RacismIsAVirus",Extremely Negative
13437,58389,"Lagos, Nigeria",20-03-2020,"#Coronavirus: Asian woman kicked out of Ghanaian supermarket for refusing to use hand sanitizer - Watch Video
#viral
https://t.co/imAihaqCWt",Positive
26202,71154,"Tanzania, Charlotte",25-03-2020,"ÂWe wonÂt be able to stock up on food and hide in our homes for a month like they do in Europe,Â When COVID-19 came to Tanzania https://t.co/jWm4isoOme (@newhumanitarian)",Extremely Positive
15815,60767,I'M HERE TENNESSEE ,20-03-2020,The line at the grocery store at 6:30am today. Thankful to get what I needed. My heart is heavy and it is all I can to keep from worrying and crying every day. Praying for everyone. #CoronaVirusUpdate #Covid_19 #coronavirus #Thankful https://t.co/1iPP6iCrJi,Positive
12280,57232,"Milwaukee, WI",19-03-2020,people who refer to covid-19 as a Chinese virus and blame the disease on their markets are 100% the same people who hunt and eat squirrels when the grocery store is a mile away,Negative
7521,52473,Denmark,18-03-2020,UK Lifeboat fund says it has  unlimited  capacity to pay pensions of failed airlines,Negative
42857,87809,Nigeria,12-04-2020,"First, it was #NigerDeltaUnrest. Then came the lingering #BokoHaram insurgency.The #2016Recession, occasioned by the dip in global oil prices, also came. Now, the #Covid_19 pandemic has come to expose the unsustainability of the model of our political-economy.",Negative
17578,62530,"Phoenix, AZ",21-03-2020,"-cant to afford to care for pets and/or children
-not sure where their next paycheck is coming from
-unable to get healthcare for issues non related to COVID-19
-no in home care from nurses if needed
-racking up bill prices by being home 24/7 (wil",Positive
42253,87205,"Florida, USA",11-04-2020,Treasure Coast Food Bank demand up 40% as access to non-perishables slows amid COVID-19 outbreak https://t.co/a2M258jqid via @tcpalm,Positive
37978,82930,,08-04-2020,Question.. Are the people who canÂt follow the arrows in the supermarket the same people that donÂt use their indicators when driving? #coronavirus #lockdownuk,Neutral
33207,78159,"Ontario, Canada",05-04-2020,Grocery prices are INSANE! Normally spend 180-200$ a week for my family of 5. Just spent 270$ this is without buying meat. Fucking ridiculous. #guelph #groceries #Covid_19 #SundayThoughts #pricegouging,Extremely Negative
17333,62285,Brighton,21-03-2020,So with all the #Covid_19 panic buying please spare a thought for the humble cucumber. Turns out everyone hates them. Every supermarket has tons of them whilst everything else is stripped bare. I bought two to save their feelings ? #giveacucumberahome,Negative
18682,63634,"BEACHMONT, MA",22-03-2020,617 420 13 LucieBee cat ginger COVID 19 will be blamed for every Thing that goes awry through 2021 I m guessing Either directly or indirectly from the fall out Election Stock market unemployment rate food and sundry supplies significant rise in domestic violence and Crime in general  ,Extremely Negative
31390,76342,,03-04-2020,"This is my beautiful, kind, funny niece, Megan, wearing her @NHSGrampian uniform. She is currently on shift at ARI as a healthcare support worker &amp; I am asking you to do your best to help Megan &amp; her colleagues. Please #StayHome #ProtectTheNHS #StaySafe Thank you! https://t.co/Nfr5eUQM9i",Extremely Positive
37381,82333,"Pittsfield, Massachusetts",08-04-2020,To those celebrating Passover and Easter this year food shopping can be a bit more challenging than usual As you prepare your holiday meals remember you can order fresh meat fruits and veggies from MA farmers via online ordering and delivery,Extremely Positive
30659,75611,"Langtoun, UK",02-04-2020,"Trump is offering the US empty words as #coronavirus chaos reigns, with chaotic testing and scramble for ventilators at the state level. Centralised control of prices and distribution of essentials is necessary for survival, irrespective of free market dogmas",Extremely Negative
44897,89849,"Wall Street, SF, Tokyo",14-04-2020,"WSJ: Farmers Dump Milk, Break Eggs as #Coronavirus Restaurant Closings Destroy Demand - how closings of hospitality industry are affecting farmers and chefs across America. Heartbreaking reality of supply chain amid #foodinsecurity  https://t.co/qBDiNc5LfP",Extremely Negative
24851,69803,Planet Earth,25-03-2020,"As #Ukraine facing #COVID19 #coronavirus #pandemic, #food prices significantly increased. The price of popular #buckwheat increased by 50%, #potatoes by 60%, #onion by 50%, #sugar by 16%. #Zelensky government must control prices during #health emergency.",Positive
31383,76335,"Geelong, Australia",03-04-2020,"A queue for online shopping?! I knew Kmart was popular but this is next level! 

#Covid_19 #COVID19au https://t.co/UfkyYCCErk",Positive
27113,72065,,25-03-2020,@daveellis55 Think it would assist in slowing spread of #coronavirus if less people have to go in the supermarket,Neutral
27339,72291,"Lawndale, CA",26-03-2020,So far the COVID 19 epidemic has taught us Non essential people Wall Street bankers Hedge fund managers and Oil executives Essential people Grocery store clerks Warehouse workers Delivery truck drivers and Medical professionals,Neutral
14983,59935,LANCASHIRE,20-03-2020,@MissStixy Maybe this is why thereÂs a shortage of paper towels on the supermarket shelves ?? #coronavirus,Negative
39679,84631,,09-04-2020,Very cool to see the Muddy River Distillery manufacturing hand sanitizer for first responders I am thankful for the many ways the community is supporting one another in our fight against the,Extremely Positive
19932,64884,"Minneapolis, MN",22-03-2020,"Going to become a road warrior with these gas prices

#merchantserviceinnovations #roadwarrior #gasprices #coronavirusmeme #coronavirus #covid_19 #covid2019 #madmax #meme #memes #memer #memesdaily #memestagram #dankmemes #dankmeme #lol #breakdown #watchout #dystopian https://t.co/x13vQatcOP",Neutral
25121,70073,,25-03-2020,@HillaryClinton There are no Covid-19 test kits at Salinas Valley Memorial Hospital! ThatÂs where many vegetables in your grocery store come from. Ag workers are in the fields for us. CanÂt we get testing for them?,Negative
26718,71670,"Johannesburg, South Africa",25-03-2020,South Africans are finding the time to worry about issues other than Covid-19 on the eve of a nationwide lockdown. https://t.co/tglx49xoDI,Negative
32562,77514,,05-04-2020,Items COMING SOON to #ShopOn12th.com #SundayMorning #SundayMotivation #StayHome #SocialDistancing #Moneyyaya #MeToo #plussizefashion #Please #curvynstyle #highheels #cuteclothes #QuarantineAndChill #Online #onlineshopping #youhadallday #ShopMyCloset #shopping #shop #lockdown,Neutral
41934,86886,Melbourne,11-04-2020,"A 3D model by @AaltoUniversity of a person coughing without facemask in a supermarket aisle, showing how an aerosol cloud disperses #COVID__19 https://t.co/DI1ikcw09z",Neutral
26350,71302,"New York, NY",25-03-2020,"Absolut Stepping Up - this Swedish Vodka company is switching gears to produce and quickly bring more hand sanitizer to empty store shelves.

https://t.co/BxomRd5nlH

#handsanitizer #coronavirus #nyc #COVID19 #business #productivity #Nordics #Healthcare #Sweden #nordicinnovation https://t.co/jzJ7lAJwbc",Positive
8137,53089,"Wichita Falls,Texas",18-03-2020,"A disabled woman in Houston, Texas, shot and killed an alleged home invader.
https://t.co/Y38v0WORJq",Extremely Negative
4171,49123,Somewhere gettin $$,16-03-2020,"NEW YORK (AP) Â #Amazon said Monday that it needs to hire 100,000 people across the U.S. to keep up with a crush of orders as the #coronavirus spreads and keeps more people at home, shopping online.

The onlineÂ https://t.co/gkh0NUB0c9",Negative
11752,56704,"England, United Kingdom",19-03-2020,"Supermarket delivery drivers, welcome to the club. You may now legitimately exchange waves with the peeps within other passing emergency service vehicles ?? 
#coronavirus #BeKindToEachOther",Positive
32006,76958,"Jacksonville, FL",04-04-2020,IÂm all for wearing cloves as a precaution against #coronavirus but PLEASE stop throwing gloves on the ground in parking lots or littering the sidewalks with them! Grocery store employees are not your maids ?Throw them in the trash or recyclables like you were raised properly https://t.co/CANj2C8QPI,Extremely Positive
5847,50799,,17-03-2020,"Brits and others are running to the shops to stock up on food.
Americans are running to the shops to buy guns. 
If you ever wondered how far apart we are as Nations, this is it. 
#Coronavirus",Neutral
11881,56833,"London,  The World",19-03-2020,"I live alone, no family close by, I am not elderly.i need fresh fruit\veg. I tried my local supermarket @waitrose to get online order, no slots for weeks, I tried click n collect, no slots for weeks. #government #BorisJohnson #coronavirus",Extremely Negative
38252,83204,"California, USA",08-04-2020,"I just can't with the constant ""Staying home is a burden! I can't bear it!"" I'm on my 7th day in a row working at a grocery store. If you can't fucking bear it, switch places with me. #COVID19 #coronavirus #StayHome",Negative
4944,49896,"Australia, Asia and Europe",17-03-2020,"With panic buying of essential items like toilet paper, tissues, sanitizer and all foods  all Australia due to Covid 19 our gov't is allowing  students to work more hours to stock supermarket shelves. 
# 
#cruise https://t.co/b93Mxo5Vv2",Negative
7485,52437,Tallahassee,18-03-2020,"We haven't seen evidence of #COVID19 spreading through food, but we're reminding consumers &amp; businesses to use good sanitary practices.

Handwashing for 20 seconds before handling food, while handling uncooked foods &amp; before eating is crucial.

More tips: https://t.co/vgf7VwCCYJ https://t.co/URIOsnVfJj",Positive
30587,75539,Seattle,02-04-2020,Lots of people need food. Give and give some more to your local food bank.  https://t.co/ae472nq65F via @TPM,Neutral
32765,77717,"Houston, TX",05-04-2020,"This shit is never going to end. I just went to the grocery store for the first time in 2 weeks. 
THERE WERE CHILDREN EVERYWHERE.
ELDERLY PEOPLE WERE STANDING IN GROUPS TALKING. 
PEOPLE WERE TOUCHING THIER FACES.

#COVID #coronavirus #covid19 #stopit #houston #ffs https://t.co/ZNybNCNCbN",Negative
14578,59530,"Boston, MA",20-03-2020,Just bought toilet paper on eBay because people are hoarding it and selling it at marked-up prices. #capitalism #booooo #Covid_19 #coronavirus #QuarentineLife,Neutral
41978,86930,Worldwide,11-04-2020,"Insights From ForresterÂs Consumer + COVID-19 Research
https://t.co/J71paBxi2n

              As COVID-19 wreaks havoc, businesses a...",Negative
15694,60646,"North West, England",20-03-2020,"Please be kind to supermarket staff, we are struggling too. The abuse we are receiving is horrible. I feel for the NHS staff waking in to empty stores. DonÂt bulk but please, there enough for everybody. Be kind, letÂs all support each other! #COVID19 #Covid_19 https://t.co/5BVRUDJjKa",Extremely Positive
5413,50365,UK,17-03-2020,"10.30 #Morrison supermarket
#Blyth
Massive queses and big gaps on shelves
This is day 1 of the #COVID2019 ""panic""
#BorisJohnson you need to consider activating some sort of regulated distribution and enforce considerate shopping
This will get worse https://t.co/Z6zIb6DadC",Negative
27303,72255,,26-03-2020,What to do if you can t go a shop to buy top up or if you can t get to the meter itself  ,Positive
11174,56126,Gods County Yorkshire ,19-03-2020,"The world is in crisis with the #coronavirus  we are meant to be pulling tougher helping each other out but no some of us think itÂs ok to exploit and try make an easy buck by reselling handwash,bog roll and baby formula at extortionate prices on eBay you make my piss boil ? https://t.co/rZikFkR7eq",Negative
26744,71696,"Vancouver, BC",25-03-2020,"COVID &amp; Falling Prices Force Canadian Oil to Cut Spending
https://t.co/3DrkUskdPQ
#covid-19 #news #markets https://t.co/AtMVnCKuVf",Negative
38137,83089,United States,08-04-2020,Major grocery stores across the US report first employee deaths Two Walmart stockers in Chicago and a Trader Joes worker in New York die from amid concerns customers are leaving staff at risk via,Extremely Negative
39022,83974,south africa,08-04-2020,"You all walk 2 hours to supermarket to buy loaf of bread and milk? People don't take this #coronavirus serious, the queue at the malls and supermarket its long with people who are there to roam around buy chocolate and leave, Lena le rata drama",Negative
