Text,Review-Activity,Season
"Is this man a prophet?: This is Kirk Brandon back to his cheeky best. I bought this album by mistake, when trying to purchase a book about voyeurism of medieval poets (hence only the four stars). Even so, I have been quite chuffed with this happy little accident.On track 8, Spear of Destiny have a song that has never sounded so relevant as it does now (Babylon talking). As many will know, Babylon is the old name for Baghdad, and that has certainly been talking recently. Similarly, track number 11 is Captain America. And we all know who's boss now. Track 12 is ""chemical head"" (warhead, more like) and 14 is Burn Out, evoking pictures of oil fields burning. Really, this is the Nostradamus of all albums, spookily predicting the current Gulf War at the same tim",REVIEW,NOT APPLICABLE
"The Movie's Better: If you liked the movie...well, watch it again. It's way better than the book. Brin gets credit for the cool main idea, but it's developed better in the (notably different) movie. The execution in the book just isn't very good--and like most sci-fi, the book's poorly-written. By the standards of sci-fi, I guess it's o.k...maybe alright for the beach or whatever. But really just not very good. I love post-apocalyptic fiction, and even I found myself skimming to the end.",REVIEW,NOT APPLICABLE
"A Manual of Proper Etiquette by Robert Jordan.: 214 pages into the book and only two events have happened that moved the story along. Otherwise Jordan's subject has been so and so wore this type of dress, in just this way, made of this cloth, tailored in just this way, and spoke and acted liked this. And if she didn't, she was severely punished. I've had enough of the spear carriers holding center stage on the proper manner of drinking tea. No more for me, thank you. I won't be there when Rand's inevitable victory at Tarmon Gai'don is won. Perhaps someday a condensed version in 5 or 6 volumes will tell this story as it should have been.",REVIEW,NOT APPLICABLE
I like hunting. Fishing and camp fires,ACTIVITY,WINTER
Didn't last six months: I bought this unit because of our concrete counter top which many glass carafes have fallen victim to. This is the first coffee maker that I have had to replace because the brewer quit working. Junk. Stay away.,REVIEW,NOT APPLICABLE
raking leaves  photography  walking outside,ACTIVITY,FALL
"Hiking, skiing and reading",ACTIVITY,WINTER
"Buy the 2005 movie not this one: Not to get me wrong, I'm a big fan of The Dukes of Hazzaed. I loved the series, I liked the cartoon, I even enjoyed the 2005 movie. But, The beginning is a Disgrace to The Dukes, and The General Lee. But most of all, it's a insult to us fans.",REVIEW,NOT APPLICABLE
Boating  Golfing  Going to amusement park,ACTIVITY,SUMMER
"Keeps my son occupied for hours: This game is perfect for the indoors, yes it was a little challenging to put together however it was worth all the effort. My 5 year old plays it and so does his 15 and 16 year old brothers! We have no complaints. It actually is in our 5 year old sons room so he can play it whenever he wants...which is every day!!!",REVIEW,NOT APPLICABLE
The weather  The Holidays  Staying inside,ACTIVITY,WINTER
"Drinking hot chocolate, sitting by the fire, watching TV",ACTIVITY,FALL
running  biking  gardening,ACTIVITY,SUMMER
sitting inside  drinking hot chocolate  snowball fights,ACTIVITY,WINTER
sledding  sleeping  building snowmen,ACTIVITY,WINTER
"Leaves turning, fireplace,snow",ACTIVITY,FALL
Halloween   Shopping  Video games,ACTIVITY,FALL
Thankgiving  Weather   Relax,ACTIVITY,FALL
"The Five People You Meet in Heaven: If you are looking for a book you wont want to put down then Mitch Albom's The Five People You Meet in Heaven is the perfect book for you. I read this book for an assignment in school and found myself unable to stop reading it. The vivid details and real-life connections made throughout the story made it come to life. I found myself relating many of the things in the book to my life and to many of my close friend's and family member's lives.I thoroughly enjoyed this story of love, loss and friendship. By page count, this story is short however, the number of deep thoughts and heart grasping events in the book made it anything but short. I would suggest this book to anyone enjoys realistic fiction with a dreamy twist.",REVIEW,NOT APPLICABLE
going swimming,ACTIVITY,SUMMER
"Had for over a year and is still great!!: The headphones are real good for the price and if your into music production or djing, these will do the job. I will say there are better headphones and ""probably"" around the same price too but these will keep you satisfied.",REVIEW,NOT APPLICABLE
Hiking...football..jogging,ACTIVITY,FALL
"Christmas,New years & Sunny weather",ACTIVITY,WINTER
Halloween star gazing and hunting,ACTIVITY,FALL
"Christmas shopping, new years eve events and Halloween events",ACTIVITY,WINTER
Going down the shore   Fire pit  Wine drinking,ACTIVITY,FALL
"I Agree With The Previous Review: I was eyeing this product for a long while and to my delight I found this at Best Buy for $19.00. Happy that I found a Dusty Springfield release at Best Buy at all I quickly grabbed this, paid for it, left, got in my car and read the track listings at red lights on my way home. As I got closer to my home I realized the ""story"" is a bit limited, in fact really limited, to Dusty's Universal recordings, we fans who know her chronology by heart know what album's are not represented. The ""informative"" liner notes state ""Cameo"" marks a low point in Dusty's career. Was the person writing the liner notes listening to the same ""Cameo"" as we?? Slanted as this collection may be the mastering is superb but it's really too brief. For a",REVIEW,NOT APPLICABLE
To volunteer and help out the folks in the local neighborhoods of Youngstown Ohio.,ACTIVITY,SUMMER
"MONK SEASON 8 ---END OF A GREAT SERIES: GOT THE DVD IN A TIMELY MANNER BUT HAVE NOT HAD THE OPPORTUNITY TO WATCH IT YET. I APPEARS TO BE AS DESCRIBED, (NEW) THANK YOU SO MUCH.",REVIEW,NOT APPLICABLE
"Eating in, watching movies, and long walks.",ACTIVITY,FALL
"Snowboarding, playing video games, watching tv and movies",ACTIVITY,WINTER
"Halloween, hot chocolate, cold",ACTIVITY,FALL
"Stepping on leave, pumpkin flavor everything, halloween",ACTIVITY,FALL
"Watching NFL football, Getting together with family for Thanksgiving and planning a trip to a warm destination.",ACTIVITY,FALL
"Reading, watching TV, playing video games.",ACTIVITY,SUMMER
"Not for Everyone, But Funny: This movie had me laughing my rear off! You have to stick with it, and you'll see the humor. At first it seemed dumb to me, but just keep in mind it's a comedy.",REVIEW,NOT APPLICABLE
"Swimming, camping, fishing.",ACTIVITY,SUMMER
Riding bike,ACTIVITY,WINTER
"Bbqs, swimming, and shopping",ACTIVITY,SUMMER
Xmas with family  NYE party  Birthday with friends,ACTIVITY,WINTER
Skiing      Reading      Watching Netflix,ACTIVITY,WINTER
"Avoid this Product: This unit is made of extremely cheap, low-grade plastic. Less than two weeks out of the box, one of the fans began to grind and make noise periodically. The upside was that Targus agreed to replace the unit; the downside was that they wanted five weeks to do it. Five weeks! What am I supposed to do in the meantime?This is the first product of its type that I have owned, but I was pretty shocked, given its price, at how flimsy it was when I took it out of the box. Since I purchased it, the price has dropped drastically (at least temporarily), but knowing what I know now, I wouldn't buy it even at the reduced price. It is just a mickey mouse device.",REVIEW,NOT APPLICABLE
"Shopping, putting up christmas decor, cooking",ACTIVITY,FALL
Ice skating  Christmas shopping,ACTIVITY,WINTER
"Yep, that is what I was looking for: This is a must have item for the one who wants to rock. The first DVD is so great that I keep replaying it for the last few months and I have not seen the second one too.",REVIEW,NOT APPLICABLE
Cornwell Should Sue!: I loved the book so I looked forward to the movie and was greatly dissapointed. This movie should be ashamed for destroying the title of this book. The movie was so bad I coudlnt even finish it! The characters in this book are weak and completely fake and the movie just drags on. Dont but this movie for the love of god! If you must rent it from your library.,REVIEW,NOT APPLICABLE
"Snowboarding, football, New Years",ACTIVITY,WINTER
"A excelent book detailing Manson's life.: This book is well writen. The author doesn't dawdle on one aspect of Mason excesivly. He manages to put forth all sides good and bad. He tells of the bands namesakes and gives you a breifing on them, while throwing in other stories and things to keep you interested. I recomend if you want know more about the Anti Christ.",REVIEW,NOT APPLICABLE
"Hated it: I brought this book having been led to believe that it was suitable for an older audience. It didn't take long for me to realize that it's not. This book is clearly meant for young adults.Even so, I didn't think this was a good book. I've read books for young adults (I am 32) and enjoyed them very much. This was not enjoyable at all. The prose was weak, the characters boring, everyone was either too happy and nice, or too evil and mean. It was very slow and not very descriptive. I didn't care about anyone, or what happened to them. Many of the characters were unbelievable. Sometimes, I even found it hard to believe that the animals were real! I can't think of a single other book I've read when that has happened - when the animals in a book don't",REVIEW,NOT APPLICABLE
"BRILLIANT MOVIE: You will NEVER forget this movie. As he proved in Mystic River, Sean Penn is an amazing actor and this movie wouldn't be the same without him. I think he should have gotten an Oscar for his performance in this.Dead Man Walking is about a nun (Susan Surandon) who receives a letter from a man, Matthew Poncelet, (Sean Penn) on death row. He asks her to come visit him, and they get to know eachother. At first the nun tries to help him prove his innocence, but when that fails she turns to helping him accept Christ and prepairing him for his execution.This film is so moving, it will bring tears to your eyes and will make you re-think your opinion of the death penalty. An absolute MUST SEE!!",REVIEW,NOT APPLICABLE
"Excersizing, and spending time with friends and family.",ACTIVITY,SUMMER
"Christmas, shopping and being with family",ACTIVITY,WINTER
Training Outdoors    Watching the changing color of leaves from trees    Prepping my vehicle for the winter season,ACTIVITY,FALL
"Great Knives!!: This is the first ""good"" set of knives I've ever owned. They are sharp, are easy to sharpen and make cooking a pleasure.",REVIEW,NOT APPLICABLE
Can they Sing?Yes! is most of this Material there Best?NO!: K-ci&JoJo Can Sing there is no doubt about that but these Cats are stuck in a HallMark line of Sappy Slow Jams.once they found a Fourmula they were nailed in that line&haven't come from it at all.Vocally they can ahng with anything that is out nowadays but Musically&Lyrically I get plenty of time too take a nap when I hear much of the material here.,REVIEW,NOT APPLICABLE
"It Sucks !!: Lots of BAD language, not the kind of movie u would like to watch with your family or friends ! I only watched the first 20 minutes of the movie then I had to turn off the tv because it was so embarrasing to watch a movie like this with the family. Not suitable for under 16. Overall: regardless of the story it sucks...",REVIEW,NOT APPLICABLE
hibernating,ACTIVITY,WINTER
Racking leaves seeing the different colors and how weak it is,ACTIVITY,FALL
"Not even worth watching on the telly!: I heard about the making of this movie since it was practically filmed not far away from my hometown. Given that it involved western New York and southern Ontario, I thought it would be a good thing.Oh, was I proven wrong. I didn't get a chance to watch it in theatres, but I did watch it on VHS with a few friends back in late 1995. This movie just could not hold my attention (or theirs, for that matter) nor was it anywhere close to have us laughing in stitches. I don't care if it was meant to be Michael Moore's way of being perpetually condescending and opposed to conservatives or if this movie had been done by a conservative. It just flat out wasn't worth the money to rent it for wasting our time to watch it.Accordin",REVIEW,NOT APPLICABLE
Cooler weather. Leaves colors. Nothing,ACTIVITY,FALL
Pumpkin patch   Halloween   Great weather,ACTIVITY,FALL
Swimming walking..and riding bikes,ACTIVITY,SUMMER
"BRUFORD'S RHYTHMIC TOUR DE FORCE: Without question, Bill Bruford is the greatest drummer of his generation, with a creative thirst unmatched by any other working artist. This recording, visually as well as sonically, is a joy! The remarkable interplay among the musicians delivers a cross-polination of ideas that build to a veritable rhythmic tsunami. There is no rock-star preening or inane pounding. Instead you have subtlety, nuance, grace and daring at every turn. The melifluous streams flow Arican, Hispanic and European, pouring forth as this one irrepressible world rhythmic cadence. The essential instrument for dance has always been percussion and it is here in spades, obviously, with enough inspiration to have you discard any concern for a top melody l",REVIEW,NOT APPLICABLE
"Language of Letting Go REVIEW: This book sits on my coffee table so that I can read it everyday. It's in ""PERFECT"" condition as was described when ordered it. I reallly appreciate having the opportunity to make these kinds of economical purchases, especially when the economy is still trying to recover. Thanks, Carole Hannon",REVIEW,NOT APPLICABLE
watching trees change coler     getting ready for thankgiveing   siting by the fire watch tv,ACTIVITY,FALL
"My three favorite fall activities are skateboarding, eating tacos, and getting cars.",ACTIVITY,FALL
nfl  nba  travel,ACTIVITY,WINTER
"Skiing, snowboarding, ice skating",ACTIVITY,WINTER
Long and cliche: Wow....another movie where you expect so much more!!! The story line was a great idea but after the first 20 mins the movie just starts rolling down hill. It becomes predictable and long! I wanted to like the movie but in the end I was sadly disapointed. And the kid that played Jamal NEVER smiled what is up with that?,REVIEW,NOT APPLICABLE
"Stunk so bad I turned it off!!: After watching Bernie Mac in a number of his movies I found his comedy extremely funny. This movie is up there with the worst of animated comedy I have ever seen. The main character's annoying high pitched voice was enough to infuriate anyone. The jokes were extremely lame and the plot didn't go anywhere. If you want to suffer through 75mins of your life this movie is the one for you. Any comparisons between this movie and South Park are clearly not valid as South Park is actually funny. If you want my advice on the film I say ""you could burn your money and get a better investment out of it than buying this one""",REVIEW,NOT APPLICABLE
"Not a book about Jdeveloper: This book was originally called JBuilder Essebtials. They have simply changed the cover. All references within this book are to the JBuilder IDE not the JDeveloper IDE. Althought the envirnonments are similar there are differences that make the book unusable in some circumstances. If you are looking for a book on Jdeveloper look elsewhere or buy JBuilder Essentials, it's cheaper.",REVIEW,NOT APPLICABLE
"Jeter ruined the story of Boba Fett: I only gave this book 1 star because it was the lowest rank allowedJeter ( along with some other authors who wrote SW novels ) should not ever be allowed to write about Star Wars again.Zahn, Stackpole, Anderson, Crispen should be the ONLY honorary SW novel authors",REVIEW,NOT APPLICABLE
Hiking the desert.  Traveling to see my grandchildren over Halloween.  Visiting New England and taking in the fall foliage.,ACTIVITY,FALL
"1.Soccer, 2.Footbal, 3.Racecar Driving",ACTIVITY,FALL
Great cheap card for E815 with Extremely Fast shipping: Great card for the Motorola E815. Ordered it Wednesday morning and received it Thursday afternoon with Free shipping! This is the reason why I keep comming back to Amazon; fast free shipping and the cheapest prices!,REVIEW,NOT APPLICABLE
Good Charlotte and all Their Glory: GC is the most kick azz band ever! I got their album wen it 1st came out and itz still in my CD playa. Benji is the hottest human being alive and is just awesome. Joel has a mad sik voice and the boyz just bring lyf to the songs. If u dont got this CD...get it.,REVIEW,NOT APPLICABLE
TOM SELLECK AND A MYSTERY: I have always liked Tom Selleck and this is HIS mystery pinnacle. This series was MADE for him to play. He makes Jesse Stone come alive. I love the theme music too.,REVIEW,NOT APPLICABLE
"HOOB-A-STINK: Hmmmmm, well.........Don't waste your time or money on this band. I can't think of anything good about this band at all.",REVIEW,NOT APPLICABLE
"Hiking, cooking, being outside and walking",ACTIVITY,FALL
"Not quite worth it: If you're not bothered by the fact that the writer can't write, misses words and replaces caren-characters with normal characters - and even calls a male person ma'am, then you might want to buy this book. Otherwise it's not worth it.You'll probably learn something from this book, but since the author has a bad attitude towards grammar (many things are given as ""you'll learn this eventually, don't worry"" and nothing more), the book doesn't give you that much. For a traveller it might give the required knowledge, but it is certainly NOT a ""complete course"" to Slovene.Fortunately I have a friend that is native in Slovene and can help me out.",REVIEW,NOT APPLICABLE
"Over 1000 pages of nothing: This book is terrible - it's incredibly frustating to use. It's worthless as a reference and I doubt that anyone has ever read it cover to cover (including the army of authors that wrote it). I have over 10 years of experience in software development in a wide variety of languages: C++, VB, Pascal, and others. What I need to know about JavaScript could probably fit in a book half this size. This book is over 1000 pages, it's poorly organized, the index is bad, and it doesn't focus on relevant facts about the language. If I want lots of prose I'll pick up a novel, not a JavaScript book.",REVIEW,NOT APPLICABLE
"baseball games, eating salads, staying inside with AC on",ACTIVITY,SUMMER
raking leaves  eating pumpkin pie  taking walks,ACTIVITY,FALL
"Basketball, outdoor running, and hiking",ACTIVITY,FALL
"changing leaves, holidays, pumpkins",ACTIVITY,FALL
Walking camping sleeping,ACTIVITY,FALL
"Hell Ride - Blu-ray Info: Version: U.S.A / Region A, B(?), C(?)Aspect ratio: 2.35:1MPEG-4 AVC BD-50 / High Profile 4.1Running time: 1:23:49Movie size: 19,42 GBDisc size: 22,82 GBAverage video bit rate: 23.55 MbpsDolby TrueHD Audio English 3354 kbps 5.1 / 48kHz / 24-bit / 3354kbps (AC3 Core: 5.1 / 48kHz / 640kbps)Dolby Digital Audio English 640 kbps 5.1 / 48kHz / 640kbpsDolby Digital Audio English 192 kbps 2.0 / 48kHz / 192kbpsSubtitles: English SDH / SpanishNumber of chapters: 16#Commentary by Writer/Director/Producer#Featurettes--The Making of Hell Ride--The Babes of Hell Ride--The Guys of Hell Ride--The Choppers of Hell Ride#Michael Madsen's Video Diary#Theatrical Trailer",REVIEW,NOT APPLICABLE
Running   Skiing   Snowboarding,ACTIVITY,WINTER
Pumpkin carving  Hay rides  Thanksgiving,ACTIVITY,FALL
Visiting orchards  Picking a pumpkin   Decorating,ACTIVITY,FALL
"Great premise -- terrible execution: The whole idea of miracles, saints, and how to ""prove"" such things, is fascinating. Unfortunately, in the hands of the author, the scenario becomes a cartoonish exercise with stereotypical and poorly drawn characters. Some of the scenes actually made me cringe, they were so crudely written and unbelievable. The dialogue is clumsy and at times downright laughable; I wondered where the editor was when the manuscript was being prepared. I stuck with it because I thought the premise was a good one, but it was a total waste of time. I can only hope that in the proposed movie version that they hire a scriptwriter who knows how to write dialogue and create a plot that works. Mr. Vetere certainly doesn't.",REVIEW,NOT APPLICABLE
Driking beer,ACTIVITY,WINTER
Reading  Staying warm  Traveling,ACTIVITY,WINTER
"Scooter arrived damaged and assembled improperly.: This seems like it should be a good product. Kent International, Inc. of New Jersey has chosen China as the country to obtain their cheap labor, and it shows.Everything that was supposed to be pre-assembled was backwards, upside down or damaged. I have sufficient technical skill and all of the correct tools, so I was eventually able to assemble the entire scooter from the bottom-up. On top of the assembly and adjustment problems, the frame of the scooter was dented and scratched.If you are interested in purchasing this scooter, I would recommend getting it at a local retail store already completely assembled.",REVIEW,NOT APPLICABLE
"Flowtron BK-40D --Great product when it worked!: Worked great to keep the flies away but product life is next to none! This is our second unit because the first one (same exact unit) stopped working (no lights) after less than 2 weeks of use. Now, after less than 30 days of use, the light is out again. I would return the product to request a refund or a replacement with a longer life product but my cleaner threw away the box without me knowing. Expensive amount for around 6 weeks of use! Now I have to search for an alternative ;-(",REVIEW,NOT APPLICABLE
Give ME a Break!: John Stossel will never be accused of overthinking an issue. This guy is a complete simpleton. This book reads like it was written in a weekend. John should stick to his day job.,REVIEW,NOT APPLICABLE
Going to the beach where it's warm.  Staying warm.  Drinking eggnog.,ACTIVITY,WINTER
"making a snow man, sledding, snow ball fight",ACTIVITY,WINTER
"Watching football, walking, Thanksgiving dinner",ACTIVITY,FALL
"joining the lovefest: A great overview of natural parenting practices with a nice ymmv (your mileage may vary) attitude. Includes lots of good resources for further reading, too.",REVIEW,NOT APPLICABLE
Choose another book: Me and my boyfriend found this book to be slanted toward the Jewish person who is having trouble with the mixed relationship. I think this is a good book for a couple that will carry on a lot of Jewish customs and forgo the Christian ones.,REVIEW,NOT APPLICABLE
"Hot meals, sleeping in, traveling to warmer places",ACTIVITY,WINTER
"vacations, shopping, relax",ACTIVITY,SUMMER
"Sitting by the fireplace, watching it snow through my bay widow, staying under the covers where it's warm.",ACTIVITY,WINTER
"Squeakin' eggs: Perfect size for small dogs-I have three dogs and they all play non-stop with these! The squeaker lasts as long as the eggs, which is forever.",REVIEW,NOT APPLICABLE
Great Stuff: I found about this product several years ago at a job that I worked at. They would purchase it to clean the coffee pots out and it was amazing how much gunk this removes. The coffee pot in my house was getting gross so I decided to buy a bottle for the home. I haven't found a DIY alternative that works nearly as well.,REVIEW,NOT APPLICABLE
"This is an animated version!: You'd never know it from the description you will find in the search of Amazon.com but this is an animated version of the feature film, and not a very good one at that. I expected the film as promised in the description and was sorely disappointed at what I received.",REVIEW,NOT APPLICABLE
The Bad Seed: after i got a defective one and sent it back and amazon sent me another one to replace it (which i never recieved ) i phoned amazon and they shipped me another for the one that i didnt get i am pleased that amazon is concerned for their customers and am pleased overall,REVIEW,NOT APPLICABLE
"Do not Buy these. It's a joke at that cost. It's made for children's listening to protect the ears.: The worst sound I have ever heard, compared to my Bose QC 15. It's like night and Day. Bose Wins in huge Margin.I returned the Senhiser in an hour. Was very disapointed.",REVIEW,NOT APPLICABLE
Halloween  Jumping in leaves  Decorating for halloween,ACTIVITY,FALL
Relaxing in front of a fire  Walking along the beach  Enjoying a good movie,ACTIVITY,WINTER
Hockey  Snow  Cold,ACTIVITY,WINTER
"Walking, picnics, scenic drives",ACTIVITY,SUMMER
Leaves  Painting  Cooking,ACTIVITY,FALL
"Millions of people can't be wrong!: 50 won't die tryin' to get rich after this album. 16 plus cuts on his latest disc with less than a hand full of sub-par songs makes for a pretty good cd when matched up against some of the music that has been shoveled out of the record industry as of late. If you listen to the radio EVER or watch MTV you have without a dobut heard the maybe over commercialized: 'In tha Club', '21 ?'s' and the very catchy 'P.I.M.P', however you may have missed 'Patiently waiting' which is a sick and dark mix of lyrical prose and geniues on the part of 50 as well as Shady CEO and MC MASTER Marshall Mathers. To boot', 'If I Can't' and 'Poor Lil' Rich' continue to make this cd a class act and a solid purchase. It's no 'Juicy' or 'Blueprint"",",REVIEW,NOT APPLICABLE
Football  Hockey  Halloween,ACTIVITY,FALL
"Looking at the trees turning color on their leaves. Change in weather is just awesome, outside all the time. New fall decorations around the house!",ACTIVITY,FALL
"Snowball fights, sledding, and snow angels",ACTIVITY,WINTER
"Poor Experience: I will be returning the product to Amazon. The cases in which the dvds were received in were bent and warped. It almost appears as if this was stored in a high humidity climate. Worst off, none of the discs are reading in my dvd player.",REVIEW,NOT APPLICABLE
"Excellent book for Emergency Physicians, especially upper-level residents: I don't agree with the every statement the author makes, but that's the whole point: How a physician is judged in retrospect is often subjective, rarely based on logic or evidence. This book provides a glimpse of the unwritten rules of the universe they practice in.",REVIEW,NOT APPLICABLE
Youth baseball   Gambling   Yard work,ACTIVITY,SUMMER
"the most boring and poorly written parenting book I've ever come across yet...: Sadly, this has got to be the most boring, poorly written, least inspired, parenting book I have yet to come across. At least 80% of the writing in this book consists of quotes from parents the author interviewed at the playground-- her friends and relatives, I suspect. If you're looking for insightful comments or suggestions on raising your only child, you won't find them here. The author is much more interested in justifying her choice to have had only one child. Why she should have the need to preach to the converted, should be obvious to anyone who bothers to read this. Only those who doubt the validity of their choice to have an only child, and feel the need to have their",REVIEW,NOT APPLICABLE
"Running, walking, watching movies",ACTIVITY,WINTER
"big disappointment: Shutter button broke during first roll of film. I also purchased Fisheye, which I managed to shoot with a little longer (about 10 rolls), before the flash stopped working. Overall, it's a waste of money. I woul never think about writing such a negative review, because I love Lomo pics, but these cameras break too soon.",REVIEW,NOT APPLICABLE
"Whacked Grindcore superstar band: Ex-Cradle of Filth drummer and now current member of Dimmu Borgir, Nick Barker, along with bass player Shane Embury of Napalm Death have joined in an unholy allaince to create a grindcore/ death metal, sick, side project. A genuine force on the underground music scene, they're innovative and very talented, exspecially for a band that doesn't play together on a regular basis. Do not expect to find the next Dimmu Borgir, Cradle of Filth darkwave sounding band. This is fast paced, in your face grind from two men who have been in the business for several years. Raw and brutillay unccompromising, it is a serious suprise for even the most extreme listener.",REVIEW,NOT APPLICABLE
"Hunting, vacation to mexico and fishing",ACTIVITY,FALL
Walks  Enjoy spiced cider  Watch the fall colors,ACTIVITY,FALL
SKiing Snowboarding and snowball fights.,ACTIVITY,WINTER
"An interesting read for those who love the sea !: I must disagree with the earlier reviewers. While the book would have benefited from a more thorough editing and proofreading process, I nonetheless greatly enjoyed reading it. It appeared to be well researched and the author obviously has a passion for the subject. I found the Stevenson family fascinating. The descriptions of the building of the lighthouses, particularly the great ones; Eddystone, Bell Rock, and Skerryvore, imparted a sense of both the excitement in attempting such daunting projects and the tremendous difficulties that were overcome to build the structures. I also enjoyed the illustrations, but wish that more had been included. I would recommend this book to anyone having an interest in th",REVIEW,NOT APPLICABLE
"User-Friendly & Colorful!: My son is now 2 1/2 years old and this book was so helpful when I was pregnant, that I JUST got it back because I have leant it to friends ever since. The format and layout makes it very easy to read and the colorful real-life photos make the whole ""pregnancy and beyond"" experience even more real. I remember being very excited to reach the next stage of pregnancy development to read about and actually ""see"" what was happening inside me. ....",REVIEW,NOT APPLICABLE
"Pumpkin Carving, Collecting leaves from trees, and walks along the parkway.",ACTIVITY,FALL
Nhra drag racing,ACTIVITY,SUMMER
Reading  Sleeping  Camping,ACTIVITY,WINTER
Happy: I am happy that they have made the original Doug into a series now that you can buy. I wish they would make Brand Spanking New Doug into a series as well.,REVIEW,NOT APPLICABLE
"Pumkin patch,maze, outside",ACTIVITY,FALL
